Plot,Bramble_browsed,Holly_browsed,Sward_h,Deer_dung,Horse_dung,Canopy_open
0-1,0.00,0,78,0,1.5,11.83
1-2,0.19,89.18918919,56,1.5,0,8.84
2-3,0.37,68.08510638,56,32.25,4,27.17
3-4,0.18,14.28571429,76,75.25,0,19.63
4-5,0.25,64.18918919,19,0,7.75,34.32
5-6,0.43,58.33333333,12,26.75,0,34.58
6-7,0.36,0,50,21.75,9,71.11
7-8,0.00,73.26732673,26,18,6.5,25.87
8-9,0.00,41.46341463,4,47,6,13.13
9-10,0.47,46,27,10.5,0,50.44
10-11,0.00,71.06918239,14,58.25,0,21.905
11-12,0.00,42.85714286,4,10.5,0,2.47
12-13,0.00,63.51351351,4,82.75,66,17.095
13-14,0.00,0,0,67.75,0.5,0.585
14-15,0.45,63.33333333,29,151.75,48.5,20.215
15-16,0.50,67.74193548,6,105,0.5,5.46
16-17,0.00,66.15384615,21,47.25,0,6.435
17-18,0.00,0,3,25,0.5,5.135
18-19,0.00,50,2,71.25,5,6.695
19-20,0.00,0,1,49.5,12,2.86
20-21,0.00,0,0,55.5,2,2.535
21-22,0.00,0,5,77.25,4,8.97
22-23,0.00,0,2,0.5,2.5,16.315
23-24,0.00,36.36363636,0,0,10.5,4.68
24-25,0.00,0,0,0,0.5,4.68
25-26,0.00,0,10.2,14.5,2.75,7.865
26-27,0.00,89.40397351,0,132.25,0,6.37
27-28,0.76,62.85714286,26,4,0,18.915
28-29,0.47,69.76744186,11,12.75,0,24.44
29-30,0.34,0,41,26.25,0,58.37
30-31,0.08,60,23,138.25,0,15.86
31-32,0.00,0,17,129.5,0,19.11
32-33,0.00,76.8115942,10,51,0,20.67
33-34,51.00,81.03448276,30,0,0,25.09
34-35,0.00,0,16,28.25,0,18.59
35-36,0.11,0,44,16.5,1.5,9.75
36-37,0.00,0,8,11.25,1,5.72
37-38,0.00,0,6,101,8.75,4.81
38-39,0.00,0,9,0,4,13.39
39-40,0.00,0,4,32.25,50.25,4.875
40-41,0.00,50,46,217.25,7.5,15.47
41-42,0.00,0,4,40.5,0,5.785
42-43,0.00,95.16129032,29,1.5,1.5,2.665
45-46,0.00,89.47368421,0,27,0,12.22
46-47,0.00,90.4109589,0,1.5,49,14.365
47-48,0.00,46.875,0,6.75,0,13.26
48-49,0.00,0,0,5.25,5.5,7.085
49-50,0.00,91.30434783,0,2.25,0,3.705
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
