"ID2","Year","DBH","BA","Dead","Dead2","GR","BAGR","relGR","relBAGR","DBH2","BA2","relSize","SL"
1,1964,37,0.10752126,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1,1984,39,0.11945934,0,0,NA,NA,NA,NA,37,0.10752126,0.185260664336146,20
1,1988,NA,NA,NA,1,1,5.96904,0.256410256410256,0.00555149744338934,39,0.11945934,0.172263161633038,4
1,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12
1,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,18
2,1964,30,0.070686,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2,1984,31,0.07547694,0,0,NA,NA,NA,NA,30,0.070686,0.139658031170326,20
2,1988,32.1,0.0809284014,0,0,0.5,2.39547,0.161290322580645,0.00338888888888889,31,0.07547694,0.117230921248797,4
2,1996,31.8,0.0794227896,1,0,2.75,13.6286535,0.856697819314643,0.0180567117585848,32.1,0.0809284014,0.117199587556606,12
2,2014,NA,NA,NA,NA,-0.375000000000001,-1.88201475000002,-0.117924528301887,-0.00232553061402745,31.8,0.0794227896,0.127225013685299,18
3,1964,0.9,6.36174e-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA
3,1984,NA,NA,NA,1,NA,NA,NA,NA,0.9,6.36174e-05,3.70990472485238e-05,20
3,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4
3,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12
3,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,18
4,1964,0.9,6.36174e-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA
4,1984,NA,NA,NA,1,NA,NA,NA,NA,0.9,6.36174e-05,3.70990472485238e-05,20
4,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4
4,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12
4,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,18
5,1964,1,7.854e-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA
5,1984,NA,NA,NA,1,NA,NA,NA,NA,1,7.854e-05,5.41544049226978e-05,20
5,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4
5,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12
5,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,18
6,1964,40,0.125664,0,0,NA,NA,NA,NA,NA,NA,NA,NA
6,1984,44.5,0.155528835,0,0,NA,NA,NA,NA,40,0.125664,0.20742979485142,20
6,1988,44.7,0.1569299886,0,0,2.25,14.9324175,0.50561797752809,0.0118828125,44.5,0.155528835,0.215522737355892,4
6,1996,47.1,0.1742339214,0,0,0.500000000000007,3.50288400000003,0.111856823266221,0.00225224087867695,44.7,0.1569299886,0.211189744030676,12
6,2014,49.65634224,0.193660187578483,0,0,3,21.629916,0.636942675159235,0.0137831629205892,47.1,0.1742339214,0.256659003650401,18
7,1964,22,0.03801336,0,0,NA,NA,NA,NA,NA,NA,NA,NA
7,1984,22.5,0.039760875,0,0,NA,NA,NA,NA,22,0.03801336,0.0899515031795366,20
7,1988,23.2,0.0422733696,0,0,0.25,0.873757499999999,0.111111111111111,0.00229855371900826,22.5,0.039760875,0.0694753925552774,4
7,1996,25.5,0.051070635,0,0,1.75,6.2812365,0.754310344827585,0.0157975308641975,23.2,0.0422733696,0.0641619264699977,12
7,2014,28.64788976,0.0644579026980454,0,0,2.875,10.99658175,1.12745098039216,0.0260130239298454,25.5,0.051070635,0.0800617849560054,18
8,1964,65,0.3318315,0,0,NA,NA,NA,NA,NA,NA,NA,NA
8,1984,70,0.384846,0,0,NA,NA,NA,NA,65,0.3318315,0.431701269498461,20
8,1988,70.3,0.3881517486,1,0,2.5,26.50725,0.357142857142857,0.00798816568047338,70,0.384846,0.471129175214253,4
8,1996,68.8,0.3717643776,1,0,0.749999999999993,8.26437149999984,0.106685633001421,0.00214744897959179,70.3,0.3881517486,0.47670731826002,12
8,2014,68.75494,0.371277568961659,1,0,-1.875,-20.48421375,-0.272529069767442,-0.00527737252862655,68.8,0.3717643776,0.508908624646788,18
9,1964,43,0.14522046,0,0,NA,NA,NA,NA,NA,NA,NA,NA
9,1984,48,0.18095616,0,0,NA,NA,NA,NA,43,0.14522046,0.234471364086859,20
9,1988,47.9,0.1802029614,0,0,2.5,17.86785,0.520833333333333,0.0123039480800433,48,0.18095616,0.258700740107623,4
9,1996,47.7,0.1787012766,0,0,-0.250000000000004,-1.88299650000001,-0.0521920668058463,-0.00104058159722223,47.9,0.1802029614,0.244315139140699,12
9,2014,50.92958,0.203718789224407,0,0,-0.249999999999995,-1.87710599999995,-0.0524109014675041,-0.00104166212664691,47.7,0.1787012766,0.266954664746909,18
10,1964,41,0.13202574,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10,1984,45.5,0.162597435,0,0,NA,NA,NA,NA,41,0.13202574,0.220387331545949,20
10,1988,47.6,0.1779527904,0,0,2.25,15.2858475,0.494505494505494,0.0115779298036883,45.5,0.162597435,0.232017434073098,4
10,1996,46.2,0.1676389176,0,0,5.25,38.3883885,1.10294117647059,0.0236094674556213,47.6,0.1779527904,0.240381995019377,12
10,2014,48.22395,0.18264864623194,0,0,-1.75,-12.892341,-0.378787878787878,-0.00724480968858132,46.2,0.1676389176,0.230802868927348,18
11,1964,25,0.0490875,0,0,NA,NA,NA,NA,NA,NA,NA,NA
11,1984,25,0.0490875,0,0,NA,NA,NA,NA,25,0.0490875,0.109272000237123,20
11,1988,24.4,0.0467595744,0,0,0,0,0,0,25,0.0490875,0.0838827255610646,4
11,1996,25.5,0.051070635,0,0,-1.5,-5.81981400000001,-0.614754098360657,-0.011856,24.4,0.0467595744,0.0724945981714968,12
11,2014,27.05634,0.0574948562557224,0,0,1.375,5.38882575000001,0.53921568627451,0.0115245397742543,25.5,0.051070635,0.0800617849560054,18
12,1964,22,0.03801336,1,1,NA,NA,NA,NA,NA,NA,NA,NA
12,1984,NA,NA,NA,NA,NA,NA,NA,NA,22,0.03801336,0.0899515031795366,20
12,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4
12,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12
12,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,18
13,1964,22,0.03801336,1,1,NA,NA,NA,NA,NA,NA,NA,NA
13,1984,NA,NA,NA,NA,NA,NA,NA,NA,22,0.03801336,0.0899515031795366,20
13,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4
13,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12
13,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,18
14,1964,45,0.1590435,0,0,NA,NA,NA,NA,NA,NA,NA,NA
14,1984,44.6,0.1562286264,0,0,NA,NA,NA,NA,45,0.1590435,0.249656787246804,20
14,1988,45.7,0.1640300046,0,0,-0.199999999999999,-1.40743679999999,-0.0448430493273541,-0.000884938271604935,44.6,0.1562286264,0.217156713443972,4
14,1996,46.5,0.169823115,1,0,2.75,19.5034455,0.601750547045953,0.0124839128074162,45.7,0.1640300046,0.221730589290712,12
14,2014,NA,NA,NA,NA,0.999999999999996,7.24138799999996,0.215053763440859,0.00441467280188076,46.5,0.169823115,0.244600675506186,18
15,1964,41,0.13202574,0,0,NA,NA,NA,NA,NA,NA,NA,NA
15,1984,44.6,0.1562286264,0,0,NA,NA,NA,NA,41,0.13202574,0.220387331545949,20
15,1988,45.8,0.1647486456,0,0,1.8,12.1014432,0.403587443946189,0.00916597263533611,44.6,0.1562286264,0.217156713443972,4
15,1996,NA,NA,NA,1,2.99999999999999,21.3000479999999,0.655021834061133,0.013633895714774,45.8,0.1647486456,0.223535698983047,12
15,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,18
16,1964,75,0.4417875,0,0,NA,NA,NA,NA,NA,NA,NA,NA
16,1984,87.5,0.601321875,0,0,NA,NA,NA,NA,75,0.4417875,0.541098917349218,20
16,1988,88.8,0.6193224576,0,0,6.25,79.7671875,0.714285714285714,0.0180555555555556,87.5,0.601321875,0.685335729463035,4
16,1996,92,0.66476256,0,0,3.24999999999999,45.0014565000001,0.36599099099099,0.00748375510204083,88.8,0.6193224576,0.70922224715478,12
16,2014,102.1774735,0.819976142574825,0,0,4,56.800128,0.434782608695653,0.00917133349565781,92,0.66476256,0.767043896118449,18
17,1964,26,0.05309304,0,0,NA,NA,NA,NA,NA,NA,NA,NA
17,1984,28.6,0.0642425784,0,0,NA,NA,NA,NA,26,0.05309304,0.117370460671204,20
17,1988,30.2,0.0716316216,0,0,1.3,5.5747692,0.454545454545455,0.0105,28.6,0.0642425784,0.0976673034738303,4
17,1996,30.9,0.0749907774,0,0,3.99999999999999,18.472608,1.32450331125828,0.0287544623208959,30.2,0.0716316216,0.102216880650762,12
17,2014,34.69577759,0.0945462150114206,0,0,0.874999999999999,4.19894475,0.283171521035598,0.00586185912898557,30.9,0.0749907774,0.116488685826864,18
18,1964,34,0.09079224,0,0,NA,NA,NA,NA,NA,NA,NA,NA
18,1984,47.7,0.1787012766,0,0,NA,NA,NA,NA,34,0.09079224,0.167452554764624,20
18,1988,48.3,0.1832251806,0,0,6.85,43.9545183,1.43605870020964,0.0484121972318339,47.7,0.1787012766,0.254945891524418,4
18,1996,48.1,0.1817109294,0,0,1.49999999999999,11.3097599999999,0.310559006211177,0.00632886357343455,48.3,0.1832251806,0.250289289984426,12
18,2014,58.88732894,0.272354533210877,0,0,-0.249999999999995,-1.89281399999998,-0.0519750519750509,-0.0010330534230075,48.1,0.1817109294,0.269055852300337,18
19,1964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,1984,12.7,0.0126677166,0,2,NA,NA,NA,NA,NA,NA,0,20
19,1988,11.5,0.010386915,0,0,NA,NA,NA,NA,12.7,0.0126677166,0.0213540892069998,4
19,1996,10.2,0.0081713016,0,0,-3,-5.702004,-2.60869565217391,-0.0450120900241801,11.5,0.010386915,0.0147187888384585,12
19,2014,14.64225,0.0168386213968088,0,0,-1.625,-2.76951675,-1.59313725490196,-0.0266635160680529,10.2,0.0081713016,0.00904440870592699,18
20,1964,16,0.02010624,0,0,NA,NA,NA,NA,NA,NA,NA,NA
20,1984,NA,NA,NA,1,NA,NA,NA,NA,16,0.02010624,0.0548538932457706,20
20,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4
20,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12
20,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,18
21,1964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,1984,12.7,0.0126677166,0,2,NA,NA,NA,NA,NA,NA,0,20
21,1988,11.5,0.010386915,0,0,NA,NA,NA,NA,12.7,0.0126677166,0.0213540892069998,4
21,1996,13.4,0.0141026424,0,0,-3,-5.702004,-2.60869565217391,-0.0450120900241801,11.5,0.010386915,0.0147187888384585,12
21,2014,17.82535,0.0249555432799712,0,0,2.375,4.64465925,1.77238805970149,0.0447164461247637,13.4,0.0141026424,0.0184449671737985,18
22,1964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,1984,7,0.00384846,0,2,NA,NA,NA,NA,NA,NA,0,20
22,1988,8.1,0.0051530094,0,0,NA,NA,NA,NA,7,0.00384846,0.00283079498314511,4
22,1996,7.6,0.0045364704,0,0,2.75,3.2613735,3.39506172839506,0.0847448979591837,8.1,0.0051530094,0.00511033884141187,12
22,2014,17.18873,0.0232048345600732,0,0,-0.625,-0.77067375,-0.822368421052632,-0.01495579942082,7.6,0.0045364704,0.00372153691246267,18
23,1964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20
23,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4
23,1996,3.8,0.0011341176,0,2,NA,NA,NA,NA,NA,NA,0,12
23,2014,9.230987,0.00669248144288203,0,0,NA,NA,NA,NA,3.8,0.0011341176,0.000218634175544192,18
24,1964,1.6,0.0002010624,0,0,NA,NA,NA,NA,NA,NA,NA,NA
24,1984,NA,NA,NA,1,NA,NA,NA,NA,1.6,0.0002010624,8.75281603715444e-05,20
24,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4
24,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12
24,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,18
25,1964,81,0.51530094,0,0,NA,NA,NA,NA,NA,NA,NA,NA
