"ID2","Year","DBH","BA","Dead","Dead2","Dead_cum","Dead3","GR","BAGR","relGR","relBAGR","DBH2","BA2","relSize","SL","Easting","Northing","Species","Dead_cum2","Dead_No","Dead_dist"
2,1984,31,0.07547694,0,0,0,0,NA,NA,NA,NA,30,0.070686,0.139658031170326,20,433050.2,106902,"Q",0,0,NA
6,1984,44.5,0.155528835,0,0,0,0,NA,NA,NA,NA,40,0.125664,0.20742979485142,20,433048,106898.9,"Q",0,0,NA
7,1984,22.5,0.039760875,0,0,0,0,NA,NA,NA,NA,22,0.03801336,0.0899515031795366,20,433062,106908.6,"Q",0,0,NA
8,1984,70,0.384846,0,0,0,0,NA,NA,NA,NA,65,0.3318315,0.431701269498461,20,433059,106890.7,"Q",0,0,NA
11,1984,25,0.0490875,0,0,0,0,NA,NA,NA,NA,25,0.0490875,0.109272000237123,20,433057,106907,"Q",0,0,NA
12,1984,NA,NA,NA,0,1,NA,NA,NA,NA,NA,22,0.03801336,0.0899515031795366,20,433053,106904.5,"Q",1,0,NA
13,1984,NA,NA,NA,0,1,NA,NA,NA,NA,NA,22,0.03801336,0.0899515031795366,20,433051.3,106901.8,"Q",1,0,NA
25,1984,84.4,0.5594686944,0,0,0,0,NA,NA,NA,NA,81,0.51530094,0.619210187928014,20,433052,106872.7,"Q",0,0,NA
46,1984,63.3,0.3147011406,0,0,0,0,NA,NA,NA,NA,62,0.30190776,0.412516826576167,20,433048.8,106852.8,"Q",0,0,NA
47,1984,NA,NA,NA,0,1,NA,NA,NA,NA,NA,40,0.125664,0.20742979485142,20,433048.3,106859.4,"Q",1,0,NA
54,1984,66.8,0.3504643296,0,0,0,0,NA,NA,NA,NA,69,0.37392894,0.466826114554666,20,433046.3,106867.8,"Q",0,0,NA
69,1984,83,0.54106206,1,1,1,1,NA,NA,NA,NA,83,0.54106206,0.645909192287091,20,433043.5,106856,"Q",0,0,NA
81,1984,54.1,0.2298716574,0,0,0,0,NA,NA,NA,NA,53,0.22061886,0.319182070073387,20,433042.4,106859.2,"Q",0,0,NA
98,1984,61.1,0.2932063134,0,0,0,0,NA,NA,NA,NA,59,0.27339774,0.371496504785461,20,433040.8,106850.6,"Q",0,0,NA
