"ID2","Year","DBH","BA","Dead","Dead2","Dead_cum","Dead3","GR","BAGR","relGR","relBAGR","DBH2","BA2","relSize","SL","Easting","Northing","Species","Dead_cum2"
2,1964,30,0.0706858347057703,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,433050.2,106902,"Q",0
2,1984,31,0.0754767635024948,0,0,0,0,NA,NA,NA,NA,30,0.0706858347057703,0.139658031170326,20,433050.2,106902,"Q",0
2,1988,32.1,0.0809282121546365,0,0,0,0,0.5,2.39546439836222,0.161290322580645,0.00338888888888889,31,0.0754767635024948,0.117230921248797,4,433050.2,106902,"Q",0
2,1996,31.8,0.0794226038754036,1,1,1,1,2.75,13.6286216303542,0.856697819314643,0.0180567117585848,32.1,0.0809282121546365,0.117199587556606,12,433050.2,106902,"Q",0
2,2014,NA,NA,NA,0,1,NA,-0.375000000000001,-1.88201034904113,-0.117924528301887,-0.00232553061402742,31.8,0.0794226038754036,0.127225013685299,18,433050.2,106902,"Q",1
3,1964,0.9,6.36172512351933e-05,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,433049.3,106903.7,"F",0
3,1984,NA,NA,NA,0,1,1,NA,NA,NA,NA,0.9,6.36172512351933e-05,3.70990472485238e-05,20,433049.3,106903.7,"F",1
3,1988,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,0,4,433049.3,106903.7,"F",1
3,1996,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,0,12,433049.3,106903.7,"F",1
3,2014,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,0,18,433049.3,106903.7,"F",1
4,1964,0.9,6.36172512351933e-05,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,433049,106903.7,"F",0
4,1984,NA,NA,NA,0,1,1,NA,NA,NA,NA,0.9,6.36172512351933e-05,3.70990472485238e-05,20,433049,106903.7,"F",1
4,1988,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,0,4,433049,106903.7,"F",1
4,1996,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,0,12,433049,106903.7,"F",1
4,2014,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,0,18,433049,106903.7,"F",1
5,1964,1,7.85398163397448e-05,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,433048.7,106903.7,"F",0
5,1984,NA,NA,NA,0,1,1,NA,NA,NA,NA,1,7.85398163397448e-05,5.41544049226978e-05,20,433048.7,106903.7,"F",1
5,1988,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,0,4,433048.7,106903.7,"F",1
5,1996,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,0,12,433048.7,106903.7,"F",1
5,2014,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,0,18,433048.7,106903.7,"F",1
6,1964,40,0.125663706143592,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,433048,106898.9,"Q",0
6,1984,44.5,0.15552847130678,0,0,0,0,NA,NA,NA,NA,40,0.125663706143592,0.20742979485142,20,433048,106898.9,"Q",0
6,1988,44.7,0.156929621630281,0,0,0,0,2.25,14.932382581594,0.50561797752809,0.0118828125,44.5,0.15552847130678,0.215522737355892,4,433048,106898.9,"Q",0
6,1996,47.1,0.174233513966253,0,0,0,0,0.500000000000007,3.50287580875269,0.111856823266221,0.00225224087867698,44.7,0.156929621630281,0.211189744030676,12,433048,106898.9,"Q",0
6,2014,49.65634224,0.193659734717782,0,0,0,0,3,21.6298654199657,0.636942675159235,0.0137831629205892,47.1,0.174233513966253,0.256659003650401,18,433048,106898.9,"Q",0
