Block,Year,F_BA,I_BA,Q_BA,FS,IS,QS,FM,IM,QM,SDM,BAM,BAFM,BAQM,SDS,Northing,Easting
1,1964,0,0,15.38202303,3,0,0,3,0,5,11,25.00118704,0,15.38202303,3,106909,433056
1,1984,0,0,17.61746255,0,0,0,0,0,5,8,29.19275886,0,17.61746255,0,106909,433056
1,1988,0,0,8.17226424,0,0,0,0,0,4,6,17.1261371,0,8.17226424,0,106909,433056
1,1996,0,0,6.909363628,0,0,0,0,0,3,5,15.56784824,0,6.909363628,0,106909,433056
1,2014,0,0,7.890305212,0,0,0,0,0,3,5,17.54946851,0,7.890305212,0,106909,433056
2,1964,14.64178526,0.502654825,12.88249338,0,0,0,3,1,1,12,35.30364744,14.64178526,12.88249338,5,106885,433058
2,1984,21.42328607,0.316692174,13.98668465,0,1,0,4,2,1,9,43.53807595,21.42328607,13.98668465,1,106885,433058
2,1988,22.11410266,0.259672268,14.08629278,0,1,0,4,2,1,9,44.67951473,22.11410266,14.08629278,1,106885,433058
2,1996,23.24083486,0.352565236,13.98668465,0,2,0,4,3,1,8,37.58008475,23.24083486,13.98668465,2,106885,433058
2,2014,30.09281743,1.204006631,14.71864946,0,1,0,4,3,1,8,46.01547353,30.09281743,14.71864946,1,106885,433058
3,1964,10.46346703,1.3685563,37.03937739,22,20,0,23,22,5,67,48.87140072,10.46346703,37.03937739,59,106868,433049
3,1984,13.98668465,0.541060795,38.46760431,0,2,0,1,3,5,9,52.99534976,13.98668465,38.46760431,2,106868,433049
3,1988,14.18625433,0,38.19137978,0,2,0,1,2,5,8,52.3776341,14.18625433,38.19137978,2,106868,433049
3,1996,13.98668465,0.204282062,29.39466509,0,3,0,1,4,4,9,43.58563181,13.98668465,29.39466509,3,106868,433049
3,2014,15.04511616,0.933891539,17.32580801,0,2,0,1,5,2,9,33.30481571,15.04511616,17.32580801,3,106868,433049
4,1964,37.46741938,1.941896959,33.77801151,3,5,0,7,8,5,30,73.18732786,37.46741938,33.77801151,18,106848,433053
4,1984,42.4273855,0.560793924,25.96512584,0,2,0,4,3,3,10,68.95330526,42.4273855,25.96512584,2,106848,433053
4,1988,42.04676192,0,23.11623144,0,2,0,4,2,2,8,65.16299336,42.04676192,23.11623144,2,106848,433053
4,1996,32.93154864,0,24.63326727,0,1,0,3,1,2,6,57.56481591,32.93154864,24.63326727,1,106848,433053
4,2014,4.718148288,0,29.76913633,0,0,0,1,0,2,3,34.48728462,4.718148288,29.76913633,0,106848,433053
5,1964,14.17250986,0,12.88249338,0,5,0,2,5,1,13,27.05500323,14.17250986,12.88249338,10,106828,433045
5,1984,16.80801157,0,14.18625433,0,0,0,2,0,1,3,30.9942659,16.80801157,14.18625433,0,106828,433045
5,1988,16.72572148,0,14.08629278,0,0,0,2,0,1,3,30.81201425,16.72572148,14.08629278,0,106828,433045
5,1996,7.330140694,0,0,0,0,0,1,0,0,1,7.330140694,7.330140694,0,0,106828,433045
5,2014,8.607099323,0,0,0,0,0,1,0,0,1,8.607099323,8.607099323,0,0,106828,433045
6,1964,37.16504109,0,0,2,21,0,7,21,0,30,37.16504109,37.16504109,0,25,106804,433046
6,1984,41.80008799,0,0,0,0,0,5,0,0,5,41.80008799,41.80008799,0,0,106804,433046
6,1988,41.9374934,0,0,0,0,0,5,0,0,5,41.9374934,41.9374934,0,0,106804,433046
6,1996,43.68633949,0,0,0,0,0,5,0,0,5,43.68633949,43.68633949,0,0,106804,433046
6,2014,47.67252562,0,0,0,1,0,5,1,0,6,47.67252562,47.67252562,0,1,106804,433046
7,1964,38.19194919,0,7.793113276,0,5,0,3,5,1,9,45.98506247,38.19194919,7.793113276,5,106786,433045
7,1984,7.1157859,0,0,0,0,0,1,0,0,1,7.1157859,7.1157859,0,0,106786,433045
7,1988,6.673704909,0,0,0,0,0,1,0,0,1,6.673704909,6.673704909,0,0,106786,433045
8,1964,36.58384645,1.498146997,23.50893053,0,3,0,2,7,3,12,61.59092397,36.58384645,23.50893053,3,106773,433044
8,1984,0,0.678210949,28.4615139,0,0,0,0,2,3,5,29.13972485,0,28.4615139,0,106773,433044
8,1988,0,0.851234164,30.35693492,0,0,0,0,2,3,5,31.20816909,0,30.35693492,0,106773,433044
8,1996,0,1.149842546,34.4473671,0,0,0,0,2,3,5,35.59720964,0,34.4473671,0,106773,433044
8,2014,0,1.835305468,16.9241885,0,0,0,0,2,2,4,18.75949396,0,16.9241885,0,106773,433044
9,1964,26.78993135,0.865901475,8.737554568,2,5,0,13,6,2,21,36.3933874,26.78993135,8.737554568,7,106752,433047
9,1984,30.91446944,0.241922269,4.19096314,2,0,0,11,1,1,13,35.34735485,30.91446944,4.19096314,2,106752,433047
9,1988,31.26281316,0.237582944,4.714352476,2,0,0,11,1,1,13,36.21474858,31.26281316,4.714352476,2,106752,433047
9,1996,22.70729426,0.316692174,5.147185404,1,0,0,10,1,1,12,28.17117183,22.70729426,5.147185404,1,106752,433047
9,2014,28.63704842,0.477663502,6.808847653,0,0,0,10,1,1,12,35.92355957,28.63704842,6.808847653,0,106752,433047
10,1964,32.16401829,0.331830724,0,0,4,0,3,5,0,8,32.49584901,32.16401829,0,4,106730,433046
10,1984,18.24668429,0,0,0,1,0,1,1,0,2,18.24668429,18.24668429,0,1,106730,433046
10,1988,18.78051942,0,0,0,0,0,1,0,0,1,18.78051942,18.78051942,0,0,106730,433046
10,1996,19.36102684,0,0,0,0,0,1,0,0,1,19.36102684,19.36102684,0,0,106730,433046
10,2014,20.88431037,0,0,0,0,0,1,0,0,1,20.88431037,20.88431037,0,0,106730,433046
11,1964,16.76825079,1.183987731,27.64012487,2,11,0,13,15,3,31,45.59236339,16.76825079,27.64012487,13,106707,433044
11,1984,13.33205528,0.41258929,13.65721012,1,3,0,10,5,1,16,27.4018547,13.33205528,13.65721012,4,106707,433044
11,1988,14.04364565,0,13.55913353,1,6,0,10,6,1,17,27.60277918,14.04364565,13.55913353,7,106707,433044
11,1996,6.699721223,0.241922269,14.62350512,1,3,0,7,4,1,12,21.56514861,6.699721223,14.62350512,4,106707,433044
11,2014,10.32905787,0.439466313,16.5011855,0,2,0,7,3,1,11,27.26970968,10.32905787,16.5011855,2,106707,433044
12,1964,29.42886918,0.96211275,5.939573611,3,14,0,12,17,1,30,36.33055554,29.42886918,5.939573611,17,106687,433042
12,1984,31.59307309,0.88950269,6.95126462,1,7,0,9,10,1,20,39.4338404,31.59307309,6.95126462,8,106687,433042
12,1988,30.70971614,0.250718729,6.424242817,1,8,0,8,9,1,18,37.38467769,30.70971614,6.424242817,9,106687,433042
12,1996,34.10785911,0,7.330140694,0,4,0,8,4,1,13,41.4379998,34.10785911,7.330140694,4,106687,433042
12,2014,42.19724753,0.66094085,7.60367647,0,1,0,8,3,1,12,50.46186485,42.19724753,7.60367647,1,106687,433042
13,1964,30.56867827,0.237582944,11.34114948,2,3,0,19,4,1,24,42.14741069,30.56867827,11.34114948,5,106666,433035
13,1984,28.03258833,0.516497467,11.64156428,1,0,0,9,2,1,12,40.19065007,28.03258833,11.64156428,1,106666,433035
13,1988,27.25763596,0,11.2517908,0,0,0,7,0,1,8,38.50942676,27.25763596,11.2517908,0,106666,433035
13,1996,22.05776997,0,11.85419119,0,0,0,6,0,1,7,33.91196117,22.05776997,11.85419119,0,106666,433035
13,2014,30.12146559,0,12.18654471,0,0,0,6,0,1,7,42.3080103,30.12146559,12.18654471,0,106666,433035
14,1964,20.40317166,0.237582944,16.8487541,9,1,0,23,2,2,27,37.48950871,20.40317166,16.8487541,10,106647,433038
14,1984,24.4628555,0.610450723,19.2523081,2,0,0,14,2,2,18,44.32561432,24.4628555,19.2523081,2,106647,433038
