Block,Year,Tree_ID,GBH,DBH,Status,Snag,Species,Easting,Northing,In_out
1,1959,1,NA,35,1,No,B,433064.7,106892.6,In
1,1964,1,NA,37,1,No,B,433064.7,106892.6,In
1,1984,1,NA,39,1,No,B,433064.7,106892.6,In
1,1959,10,NA,28,1,Yes,Q,433050.2,106902,In
1,1964,10,NA,30,1,No,Q,433050.2,106902,In
1,1984,10,NA,31,1,No,Q,433050.2,106902,In
1,1988,10,100.8,32.1,1,No,Q,433050.2,106902,In
1,1996,10,100,31.8,0,No,Q,433050.2,106902,In
1,1964,11,NA,0.9,1,No,F,433049.3,106903.7,In
1,1964,12,NA,0.9,1,No,F,433049,106903.7,In
1,1964,13,NA,1,1,No,F,433048.7,106903.7,In
1,1959,14,NA,40,NA,No,Q,433048,106898.9,In
1,1964,14,NA,40,1,No,Q,433048,106898.9,In
1,1984,14,NA,44.5,1,No,Q,433048,106898.9,In
1,1988,14,140.5,44.7,1,No,Q,433048,106898.9,In
1,1996,14,148,47.1,1,No,Q,433048,106898.9,In
1,2014,14,156,49.65634224,1,No,Q,433048,106898.9,In
1,1959,2,NA,22,NA,No,Q,433062,106908.6,In
1,1964,2,NA,22,1,No,Q,433062,106908.6,In
1,1984,2,NA,22.5,1,No,Q,433062,106908.6,In
1,1988,2,73,23.2,1,No,Q,433062,106908.6,In
1,1996,2,80,25.5,1,No,Q,433062,106908.6,In
1,2014,2,90,28.64788976,1,No,Q,433062,106908.6,In
1,1959,3,NA,0.5,NA,No,I,433061.7,106894.9,In
1,1959,4,NA,64,1,Yes,Q,433059,106890.7,In
1,1964,4,NA,65,1,No,Q,433059,106890.7,In
1,1984,4,NA,70,1,No,Q,433059,106890.7,In
1,1988,4,221,70.3,0,No,Q,433059,106890.7,In
1,1996,4,216,68.8,0,No,Q,433059,106890.7,In
1,2014,4,216,68.75494,0,Yes,Q,433059,106890.7,In
1,1959,5,NA,42,NA,No,B,433058.5,106900.5,In
1,1964,5,NA,43,1,No,B,433058.5,106900.5,In
1,1984,5,NA,48,1,No,B,433058.5,106900.5,In
1,1988,5,150.6,47.9,1,No,B,433058.5,106900.5,In
1,1996,5,150,47.7,1,No,B,433058.5,106900.5,In
1,2014,5,160,50.92958,1,No,B,433058.5,106900.5,In
1,1959,6,NA,40,1,No,B,433058.5,106901,In
1,1964,6,NA,41,1,No,B,433058.5,106901,In
1,1984,6,NA,45.5,1,No,B,433058.5,106901,In
1,1988,6,149.5,47.6,1,No,B,433058.5,106901,In
1,1996,6,145,46.2,1,No,B,433058.5,106901,In
1,2014,6,151.5,48.22395,1,No,B,433058.5,106901,In
1,1959,7,NA,27,NA,No,Q,433057,106907,In
1,1964,7,NA,25,1,No,Q,433057,106907,In
1,1984,7,NA,25,1,No,Q,433057,106907,In
1,1988,7,76.5,24.4,1,No,Q,433057,106907,In
1,1996,7,80,25.5,1,No,Q,433057,106907,In
1,2014,7,85,27.05634,1,No,Q,433057,106907,In
1,1959,8,NA,22,1,No,Q,433053,106904.5,In
1,1964,8,NA,22,0,No,Q,433053,106904.5,In
1,1959,9,NA,25,NA,No,Q,433051.3,106901.8,In
1,1964,9,NA,22,0,No,Q,433051.3,106901.8,In
2,1959,17,NA,44,1,Yes,B,433065.8,106873.1,In
2,1964,17,NA,45,1,No,B,433065.8,106873.1,In
2,1984,17,140,44.6,1,No,B,433065.8,106873.1,In
2,1988,17,143.6,45.7,1,No,B,433065.8,106873.1,In
2,1996,17,146,46.5,0,No,B,433065.8,106873.1,In
2,1959,18,NA,40,1,No,B,433065.8,106872.9,In
2,1964,18,NA,41,1,No,B,433065.8,106872.9,In
2,1984,18,140,44.6,1,No,B,433065.8,106872.9,In
2,1988,18,144,45.8,1,No,B,433065.8,106872.9,In
2,1959,19,NA,67,1,No,F,433065.5,106880.3,In
2,1964,19,NA,75,1,No,F,433065.5,106880.3,In
2,1984,19,275,87.5,1,No,F,433065.5,106880.3,In
2,1988,19,279,88.8,1,No,F,433065.5,106880.3,In
2,1996,19,289,92,1,No,F,433065.5,106880.3,In
2,2014,19,321,102.1774735,1,No,F,433065.5,106880.3,In
2,1959,20,NA,27,1,No,F,433064.5,106876.5,In
2,1964,20,NA,26,1,No,F,433064.5,106876.5,In
2,1984,20,90,28.6,1,No,F,433064.5,106876.5,In
2,1988,20,94.8,30.2,1,No,F,433064.5,106876.5,In
2,1996,20,97,30.9,1,No,F,433064.5,106876.5,In
2,2014,20,109,34.69577759,1,No,F,433064.5,106876.5,In
2,1959,21,NA,31,1,No,F,433059.7,106876,In
2,1964,21,NA,34,1,No,F,433059.7,106876,In
2,1984,21,150,47.7,1,No,F,433059.7,106876,In
2,1988,21,151.7,48.3,1,No,F,433059.7,106876,In
2,1996,21,151,48.1,1,No,F,433059.7,106876,In
2,2014,21,185,58.88732894,1,No,F,433059.7,106876,In
2,1984,22,40,12.7,1,No,F,433059.7,106876,In
2,1988,22,36,11.5,1,No,F,433059.7,106876,In
2,1996,22,32,10.2,1,No,F,433059.7,106876,In
2,2014,22,46,14.64225,1,No,F,433059.7,106876,In
2,1959,23,NA,15,NA,No,I,433059.2,106875.7,In
2,1964,23,NA,16,1,No,I,433059.2,106875.7,In
2,1984,24,40,12.7,1,No,I,433059.2,106875.7,In
2,1988,24,36,11.5,1,No,I,433059.2,106875.7,In
2,1996,24,42,13.4,1,No,I,433059.2,106875.7,In
2,2014,24,56,17.82535,1,No,I,433059.2,106875.7,In
2,1984,25,NA,7,1,No,I,433059.2,106875.7,In
2,1988,25,25.5,8.1,1,No,I,433059.2,106875.7,In
2,1996,25,24,7.6,1,No,I,433059.2,106875.7,In
2,2014,25,54,17.18873,1,No,I,433059.2,106875.7,In
2,1996,26,12,3.8,1,No,I,433059.2,106875.7,In
2,2014,26,29,9.230987,1,No,I,433059.2,106875.7,In
2,1959,27,NA,0.5,NA,No,A,433052.4,106868.2,In
2,1964,27,NA,1.6,1,No,A,433052.4,106868.2,In
2,1959,28,NA,79,NA,No,Q,433052,106872.7,In
2,1964,28,NA,81,1,No,Q,433052,106872.7,In
2,1984,28,265,84.4,1,No,Q,433052,106872.7,In
2,1988,28,266,84.7,1,No,Q,433052,106872.7,In
2,1996,28,265,84.4,1,No,Q,433052,106872.7,In
2,2014,28,272,86.58029,1,No,Q,433052,106872.7,In
2,1959,29,NA,3,NA,No,A,433051.2,106868.3,In
2,1964,29,NA,3,1,No,A,433051.2,106868.3,In
2,1964,30,NA,1,1,No,A,433050.4,106867,In
2,1959,31,NA,0.5,NA,No,A,433049.6,106867,In
2,1964,31,NA,1,1,No,A,433049.6,106867,In
2,1959,32,NA,2,NA,No,A,433048.9,106866.6,In
2,1964,32,NA,1.5,1,No,A,433048.9,106866.6,In
3,1984,100,NA,5,1,No,I,433040.6,106852.5,In
3,1988,100,19.1,6.1,1,No,I,433040.6,106852.5,In
3,1996,100,22,7,1,No,I,433040.6,106852.5,In
3,2014,100,29,9.230986699,1,No,I,433040.6,106852.5,In
3,1996,101,7,2.2,1,No,I,433040.6,106852.5,In
3,2014,101,35.5,11.30000096,1,No,I,433040.6,106852.5,In
3,1996,102,7,2.2,1,No,I,433040.6,106852.5,In
3,2014,102,47,14.96056465,1,No,I,433040.6,106852.5,In
3,1959,103,NA,0.4,1,No,I,433040.3,106861.4,In
3,1964,104,NA,0.7,1,No,A,433040.3,106860.3,In
3,1959,105,NA,2.25,NA,No,A,433039.9,106864.2,In
3,1964,105,NA,2.7,1,No,A,433039.9,106864.2,In
