ID,Plot_ID,Plot_number,Survey_year,Northing,Easting,Transect
1,1_1954,1,1954,106909,433056,Enclosed
2,1_1956,1,1956,106909,433056,Enclosed
3,1_1958,1,1958,106909,433056,Enclosed
4,1_1959,1,1959,106909,433056,Enclosed
5,1_1964,1,1964,106909,433056,Enclosed
6,1_1984,1,1984,106909,433056,Enclosed
7,1_1988,1,1988,106909,433056,Enclosed
8,1_1996,1,1996,106909,433056,Enclosed
9,1_2014,1,2014,106909,433056,Enclosed
10,2_1954,2,1954,106885,433058,Enclosed
11,2_1956,2,1956,106885,433058,Enclosed
12,2_1958,2,1958,106885,433058,Enclosed
13,2_1959,2,1959,106885,433058,Enclosed
14,2_1964,2,1964,106885,433058,Enclosed
15,2_1984,2,1984,106885,433058,Enclosed
16,2_1988,2,1988,106885,433058,Enclosed
17,2_1996,2,1996,106885,433058,Enclosed
18,2_2014,2,2014,106885,433058,Enclosed
19,3_1954,3,1954,106868,433049,Enclosed
20,3_1956,3,1956,106868,433049,Enclosed
21,3_1958,3,1958,106868,433049,Enclosed
22,3_1959,3,1959,106868,433049,Enclosed
23,3_1964,3,1964,106868,433049,Enclosed
24,3_1984,3,1984,106868,433049,Enclosed
25,3_1988,3,1988,106868,433049,Enclosed
26,3_1996,3,1996,106868,433049,Enclosed
27,3_2014,3,2014,106868,433049,Enclosed
28,4_1954,4,1954,106848,433053,Enclosed
29,4_1956,4,1956,106848,433053,Enclosed
30,4_1958,4,1958,106848,433053,Enclosed
31,4_1959,4,1959,106848,433053,Enclosed
32,4_1964,4,1964,106848,433053,Enclosed
33,4_1984,4,1984,106848,433053,Enclosed
34,4_1988,4,1988,106848,433053,Enclosed
35,4_1996,4,1996,106848,433053,Enclosed
36,4_2014,4,2014,106848,433053,Enclosed
37,5_1954,5,1954,106828,433045,Enclosed
38,5_1956,5,1956,106828,433045,Enclosed
39,5_1958,5,1958,106828,433045,Enclosed
40,5_1959,5,1959,106828,433045,Enclosed
41,5_1964,5,1964,106828,433045,Enclosed
42,5_1984,5,1984,106828,433045,Enclosed
43,5_1988,5,1988,106828,433045,Enclosed
44,5_1996,5,1996,106828,433045,Enclosed
45,5_2014,5,2014,106828,433045,Enclosed
46,6_1954,6,1954,106804,433046,Enclosed
47,6_1956,6,1956,106804,433046,Enclosed
48,6_1958,6,1958,106804,433046,Enclosed
49,6_1959,6,1959,106804,433046,Enclosed
50,6_1964,6,1964,106804,433046,Enclosed
51,6_1984,6,1984,106804,433046,Enclosed
52,6_1988,6,1988,106804,433046,Enclosed
53,6_1996,6,1996,106804,433046,Enclosed
54,6_2014,6,2014,106804,433046,Enclosed
55,7_1954,7,1954,106786,433045,Enclosed
56,7_1956,7,1956,106786,433045,Enclosed
57,7_1958,7,1958,106786,433045,Enclosed
58,7_1959,7,1959,106786,433045,Enclosed
59,7_1964,7,1964,106786,433045,Enclosed
60,7_1984,7,1984,106786,433045,Enclosed
61,7_1988,7,1988,106786,433045,Enclosed
62,7_1996,7,1996,106786,433045,Enclosed
63,7_2014,7,2014,106786,433045,Enclosed
64,8_1954,8,1954,106773,433044,Enclosed
65,8_1956,8,1956,106773,433044,Enclosed
66,8_1958,8,1958,106773,433044,Enclosed
67,8_1959,8,1959,106773,433044,Enclosed
68,8_1964,8,1964,106773,433044,Enclosed
69,8_1984,8,1984,106773,433044,Enclosed
70,8_1988,8,1988,106773,433044,Enclosed
71,8_1996,8,1996,106773,433044,Enclosed
72,8_2014,8,2014,106773,433044,Enclosed
73,9_1954,9,1954,106752,433047,Enclosed
74,9_1956,9,1956,106752,433047,Enclosed
75,9_1958,9,1958,106752,433047,Enclosed
76,9_1959,9,1959,106752,433047,Enclosed
77,9_1964,9,1964,106752,433047,Enclosed
78,9_1984,9,1984,106752,433047,Enclosed
79,9_1988,9,1988,106752,433047,Enclosed
80,9_1996,9,1996,106752,433047,Enclosed
81,9_2014,9,2014,106752,433047,Enclosed
82,10_1954,10,1954,106730,433046,Enclosed
83,10_1956,10,1956,106730,433046,Enclosed
84,10_1958,10,1958,106730,433046,Enclosed
85,10_1959,10,1959,106730,433046,Enclosed
86,10_1964,10,1964,106730,433046,Enclosed
87,10_1984,10,1984,106730,433046,Enclosed
88,10_1988,10,1988,106730,433046,Enclosed
89,10_1996,10,1996,106730,433046,Enclosed
90,10_2014,10,2014,106730,433046,Enclosed
91,11_1954,11,1954,106707,433044,Enclosed
92,11_1956,11,1956,106707,433044,Enclosed
93,11_1958,11,1958,106707,433044,Enclosed
94,11_1959,11,1959,106707,433044,Enclosed
95,11_1964,11,1964,106707,433044,Enclosed
96,11_1984,11,1984,106707,433044,Enclosed
97,11_1988,11,1988,106707,433044,Enclosed
98,11_1996,11,1996,106707,433044,Enclosed
99,11_2014,11,2014,106707,433044,Enclosed
100,12_1954,12,1954,106687,433042,Enclosed
101,12_1956,12,1956,106687,433042,Enclosed
102,12_1958,12,1958,106687,433042,Enclosed
103,12_1959,12,1959,106687,433042,Enclosed
104,12_1964,12,1964,106687,433042,Enclosed
105,12_1984,12,1984,106687,433042,Enclosed
106,12_1988,12,1988,106687,433042,Enclosed
107,12_1996,12,1996,106687,433042,Enclosed
108,12_2014,12,2014,106687,433042,Enclosed
109,13_1954,13,1954,106666,433035,Enclosed
110,13_1956,13,1956,106666,433035,Enclosed
111,13_1958,13,1958,106666,433035,Enclosed
112,13_1959,13,1959,106666,433035,Enclosed
113,13_1964,13,1964,106666,433035,Enclosed
114,13_1984,13,1984,106666,433035,Enclosed
115,13_1988,13,1988,106666,433035,Enclosed
116,13_1996,13,1996,106666,433035,Enclosed
117,13_2014,13,2014,106666,433035,Enclosed
118,14_1954,14,1954,106647,433038,Enclosed
119,14_1956,14,1956,106647,433038,Enclosed
120,14_1958,14,1958,106647,433038,Enclosed
121,14_1959,14,1959,106647,433038,Enclosed
122,14_1964,14,1964,106647,433038,Enclosed
123,14_1984,14,1984,106647,433038,Enclosed
124,14_1988,14,1988,106647,433038,Enclosed
125,14_1996,14,1996,106647,433038,Enclosed
126,14_2014,14,2014,106647,433038,Enclosed
127,15_1954,15,1954,106624,433036,Enclosed
128,15_1956,15,1956,106624,433036,Enclosed
129,15_1958,15,1958,106624,433036,Enclosed
130,15_1959,15,1959,106624,433036,Enclosed
131,15_1964,15,1964,106624,433036,Enclosed
132,15_1984,15,1984,106624,433036,Enclosed
133,15_1988,15,1988,106624,433036,Enclosed
134,15_1996,15,1996,106624,433036,Enclosed
135,15_2014,15,2014,106624,433036,Enclosed
136,16_1954,16,1954,106602,433034,Enclosed
137,16_1956,16,1956,106602,433034,Enclosed
138,16_1958,16,1958,106602,433034,Enclosed
139,16_1959,16,1959,106602,433034,Enclosed
140,16_1964,16,1964,106602,433034,Enclosed
141,16_1984,16,1984,106602,433034,Enclosed
142,16_1988,16,1988,106602,433034,Enclosed
143,16_1996,16,1996,106602,433034,Enclosed
144,16_2014,16,2014,106602,433034,Enclosed
145,17_1954,17,1954,106585,433028,Enclosed
146,17_1956,17,1956,106585,433028,Enclosed
147,17_1958,17,1958,106585,433028,Enclosed
148,17_1959,17,1959,106585,433028,Enclosed
149,17_1964,17,1964,106585,433028,Enclosed
150,17_1984,17,1984,106585,433028,Enclosed
151,17_1988,17,1988,106585,433028,Enclosed
152,17_1996,17,1996,106585,433028,Enclosed
153,17_2014,17,2014,106585,433028,Enclosed
154,18_1954,18,1954,106571,433031,Enclosed
155,18_1956,18,1956,106571,433031,Enclosed
156,18_1958,18,1958,106571,433031,Enclosed
157,18_1959,18,1959,106571,433031,Enclosed
158,18_1964,18,1964,106571,433031,Enclosed
159,18_1984,18,1984,106571,433031,Enclosed
160,18_1988,18,1988,106571,433031,Enclosed
161,18_1996,18,1996,106571,433031,Enclosed
162,18_2014,18,2014,106571,433031,Enclosed
163,19_1954,19,1954,106550,433024,Enclosed
164,19_1956,19,1956,106550,433024,Enclosed
165,19_1958,19,1958,106550,433024,Enclosed
166,19_1959,19,1959,106550,433024,Enclosed
167,19_1964,19,1964,106550,433024,Enclosed
168,19_1984,19,1984,106550,433024,Enclosed
169,19_1988,19,1988,106550,433024,Enclosed
170,19_1996,19,1996,106550,433024,Enclosed
171,19_2014,19,2014,106550,433024,Enclosed
172,20_1954,20,1954,106531,433028,Enclosed
173,20_1956,20,1956,106531,433028,Enclosed
174,20_1958,20,1958,106531,433028,Enclosed
175,20_1959,20,1959,106531,433028,Enclosed
176,20_1964,20,1964,106531,433028,Enclosed
177,20_1984,20,1984,106531,433028,Enclosed
178,20_1988,20,1988,106531,433028,Enclosed
179,20_1996,20,1996,106531,433028,Enclosed
180,20_2014,20,2014,106531,433028,Enclosed
181,21_1954,21,1954,106506,433029,Enclosed
182,21_1956,21,1956,106506,433029,Enclosed
183,21_1958,21,1958,106506,433029,Enclosed
184,21_1959,21,1959,106506,433029,Enclosed
185,21_1964,21,1964,106506,433029,Enclosed
186,21_1984,21,1984,106506,433029,Enclosed
187,21_1988,21,1988,106506,433029,Enclosed
188,21_1996,21,1996,106506,433029,Enclosed
189,21_2014,21,2014,106506,433029,Enclosed
190,22_1954,22,1954,106486,433024,Enclosed
191,22_1956,22,1956,106486,433024,Enclosed
192,22_1958,22,1958,106486,433024,Enclosed
193,22_1959,22,1959,106486,433024,Enclosed
194,22_1964,22,1964,106486,433024,Enclosed
195,22_1984,22,1984,106486,433024,Enclosed
196,22_1988,22,1988,106486,433024,Enclosed
197,22_1996,22,1996,106486,433024,Enclosed
198,22_2014,22,2014,106486,433024,Enclosed
199,23_1954,23,1954,106473,433024,Enclosed
200,23_1956,23,1956,106473,433024,Enclosed
201,23_1958,23,1958,106473,433024,Enclosed
202,23_1959,23,1959,106473,433024,Enclosed
203,23_1964,23,1964,106473,433024,Enclosed
204,23_1984,23,1984,106473,433024,Enclosed
205,23_1988,23,1988,106473,433024,Enclosed
206,23_1996,23,1996,106473,433024,Enclosed
207,23_2014,23,2014,106473,433024,Enclosed
208,24_1954,24,1954,106451,433021,Enclosed
209,24_1956,24,1956,106451,433021,Enclosed
210,24_1958,24,1958,106451,433021,Enclosed
