ID,Dead,GR,DBH,SL
16,0,6.25,87.5,4
17,0,1.3,28.6,4
18,0,6.85,47.7,4
42,0,5.7,84.4,4
109,0,3.5,78,4
116,0,-0.55,64.9,4
133,0,2.1,46.2,4
136,0,3.4,95.8,4
139,0,1.75,60.5,4
149,0,3.5,70,4
170,0,1.55,62.1,4
173,0,-0.85,57.3,4
174,0,5.05,89.1,4
175,0,1.65,57.3,4
177,0,0.55,54.1,4
189,1,1.85,84.7,4
190,0,0.6,60.2,4
191,1,-0.6,95.8,4
193,1,0.3,106.6,4
194,1,1.55,89.1,4
207,0,2.7,76.4,4
212,0,0.45,23.9,4
213,0,0,8,4
215,0,-0.45,12.1,4
216,0,3.5,35,4
217,0,0.25,9.5,4
218,0,-0.15,27.7,4
222,0,3.85,56.7,4
223,0,1.75,24.5,4
225,0,3.6,45.2,4
230,0,2.7,96.4,4
239,0,1.9,25.8,4
240,0,0.2,12.4,4
250,0,2.4,10.8,4
258,0,-0.35,22.3,4
261,0,0.5,14,4
265,0,3.1,38.2,4
266,0,1.15,15.3,4
270,0,2.35,55.7,4
273,0,-0.3,6.4,4
280,1,4.5,55,4
289,0,0.35,83.7,4
297,0,3.85,13.7,4
298,0,2.45,57.9,4
305,0,2.45,15.9,4
306,0,1.25,17.5,4
308,0,2.65,22.3,4
311,0,1.3,8.6,4
324,0,2.9,59.8,4
327,0,5.65,50.3,4
339,1,2.8,51.6,4
340,0,5.05,62.1,4
344,0,3.1,41.7,4
345,0,2.25,25.5,4
349,0,6.15,58.3,4
350,0,0.7,30.9,4
354,0,3.75,25.5,4
375,0,2.75,52.5,4
377,0,0.65,22.3,4
378,0,0,8,4
384,0,0.35,12.7,4
386,0,1.5,33,4
387,0,4,16,4
389,0,0.5,14,4
390,0,3,50,4
391,0,2.5,33,4
395,0,1,7,4
396,0,6,43,4
398,0,1.5,24,4
404,1,-0.5,6,4
405,1,0.25,17.5,4
410,0,-0.45,18.1,4
415,0,0.75,24.5,4
423,1,6.75,95.5,4
430,0,-0.15,10.2,4
432,0,2.55,48.1,4
437,0,3.7,54.4,4
440,0,1.1,10.2,4
452,0,2.35,35.7,4
471,0,0.2,9.9,4
477,0,2.15,42.3,4
483,0,2.65,36.3,4
489,1,0.45,37.9,4
492,0,3.8,44.6,4
498,0,5.2,55.4,4
502,1,-0.35,22.3,4
506,0,2.5,50,4
512,0,1.25,24.5,4
514,0,-0.25,9.5,4
518,0,1.05,18.1,4
521,0,0.95,57.9,4
522,0,3.75,42,4
525,0,2.45,65.9,4
528,0,1.85,26.7,4
532,0,3.5,39.5,4
533,0,2.1,42.7,4
533,0,2.1,42.7,4
534,1,-0.6,25.8,4
535,0,0.2,8.9,4
537,0,0.85,62.7,4
543,0,-0.05,30.9,4
544,0,0.55,21.6,4
548,0,-0.45,5.1,4
551,0,1.25,10.5,4
555,0,0.3,29.6,4
561,0,0.1,20.7,4
565,0,1,53,4
567,0,1.45,19.4,4
569,0,1.7,23.9,4
573,0,7.5,54,4
575,0,5.1,39.2,4
579,0,1.25,17.5,4
581,0,0.9,4.8,4
582,0,1.15,15.3,4
585,0,-0.05,15.9,4
586,0,3.05,27.1,4
588,0,3.1,31.2,4
589,0,0.9,10.8,4
591,0,2,29,4
596,0,0.2,9.9,4
597,0,1.05,18.1,4
598,0,6.4,45.8,4
603,0,0.2,20.4,4
607,0,0.25,11.5,4
609,0,2.4,15.3,4
610,0,4,42,4
610,0,4,42,4
612,0,4.7,41.4,4
620,0,0.65,15.3,4
629,0,0,18,4
630,0,6.85,55.7,4
632,0,3.65,35.3,4
639,0,4,29,4
643,0,0.25,2.5,4
648,0,1.7,27.4,4
649,0,6,73,4
652,0,0,22,4
653,0,-0.85,29.3,4
660,0,2.1,10.2,4
662,0,5.2,68.4,4
665,0,2,14,4
667,0,0.45,5.4,4
668,0,1.1,20.7,4
671,0,7.6,80.2,4
672,0,6.05,44.6,4
674,0,1.35,13.7,4
680,0,0.15,15.3,4
683,0,10.6,37.2,4
686,0,3.8,36.6,4
698,0,0.75,10.5,4
699,0,2.5,17,4
700,0,3.7,20.4,4
701,0,4.85,34.7,4
703,0,1.6,16.2,4
704,0,0.65,21.3,4
707,0,1.15,15.3,4
709,0,2.4,25.8,4
710,0,1,15,4
713,0,-0.05,36.9,4
715,0,1.1,24.2,4
757,0,2.3,8.6,4
760,0,3.1,53.2,4
762,0,2.65,22.3,4
768,0,1.4,11.8,4
776,1,2,28,4
777,0,2.45,9.9,4
779,1,0.7,30.9,4
783,1,2.9,31.8,4
786,0,3.45,23.9,4
788,0,5,35,4
790,0,2.5,17,4
801,0,1.25,10.5,4
802,0,1.05,13.1,4
803,1,2.25,17.5,4
805,1,3.8,44.6,4
809,1,2.15,17.8,4
817,0,1.85,23.2,4
818,0,1.45,16.9,4
823,0,1.5,7,4
824,0,0.55,27.1,4
831,0,2,22,4
834,0,1.5,22,4
837,0,2.35,26.7,4
839,0,2.55,25.1,4
845,0,2.45,22.9,4
846,0,1,29,4
870,0,1.8,16.6,4
874,0,2.4,31.8,4
880,0,1.35,20.7,4
881,1,0.85,19.7,4
885,1,1.55,34.1,4
888,0,1.8,16.6,4
891,0,1.7,26.4,4
896,0,0.95,9.9,4
908,0,2.55,20.1,4
909,0,1.1,10.2,4
910,0,1.05,12.1,4
938,0,1.4,7.3,4
940,0,1.8,8.6,4
941,0,3.2,34.4,4
943,0,1.05,20.1,4
944,1,2.4,31.8,4
945,0,1,18,4
946,1,4.55,55.1,4
949,0,1.3,28.6,4
950,1,3.2,13.4,4
957,0,4.6,46.2,4
958,0,1.05,5.1,4
959,0,0.75,9.5,4
966,0,1.4,10.8,4
967,0,0.65,7.3,4
975,0,1.3,8.6,4
982,0,1.3,7.6,4
986,0,2.15,15.3,4
1001,0,3.8,27.1,4
