"BehaviorSpace results (NetLogo 5.1.0)"
"Denny_mort_3.7.nlogo"
"Experiment_1"
"10/05/2015 07:12:09:589 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","99","0","99"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116","117","118","119","120","121","122","123","124","125","126","127","128","129","130","131","132"
"spatial-feedback?","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false"
"n-trees","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280","280"
"mean-tree-age","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90"
"differential-juvenile-mortality?","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false"
"juvenile-mortality","0","0","0","0.1","0.1","0.1","0.2","0.2","0.2","0.3","0.3","0.3","0.4","0.4","0.4","0.5","0.5","0.5","0.6","0.6","0.6","0.7","0.7","0.7","0.8","0.8","0.8","0.9","0.9","0.9","1","1","1","0","0","0","0.1","0.1","0.1","0.2","0.2","0.2","0.3","0.3","0.3","0.4","0.4","0.4","0.5","0.5","0.5","0.6","0.6","0.6","0.7","0.7","0.7","0.8","0.8","0.8","0.9","0.9","0.9","1","1","1","0","0","0","0.1","0.1","0.1","0.2","0.2","0.2","0.3","0.3","0.3","0.4","0.4","0.4","0.5","0.5","0.5","0.6","0.6","0.6","0.7","0.7","0.7","0.8","0.8","0.8","0.9","0.9","0.9","1","1","1","0","0","0","0.1","0.1","0.1","0.2","0.2","0.2","0.3","0.3","0.3","0.4","0.4","0.4","0.5","0.5","0.5","0.6","0.6","0.6","0.7","0.7","0.7","0.8","0.8","0.8","0.9","0.9","0.9","1","1","1"
"[reporter]","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees","sum [BA] of trees"
"[final]","48.38388519609221","50.86612293943436","49.94382516805265","42.85180517374663","46.7946520872927","48.66584305505714","41.37899840384437","37.94738179319291","37.185671095049344","28.137774073079548","24.263890085533866","24.862772760963058","12.040847643874699","9.488446052714407","15.47825284160218","14.99550803404996","18.541693473364973","12.434788395138243","16.891435197387295","15.7873192255682","23.267377241596197","15.36115614599596","8.372170192101922","8.684028763525408","13.89004252758072","17.642293619230063","16.495454219868805","17.284389927471008","7.690634745469528","18.891190381584504","17.192862501904496","18.61482145219943","7.105064733214894","49.44492455394624","48.358487177051835","53.3835924180407","45.53042408073216","44.40563020167189","46.037729181079","45.01451463391874","43.482416886632805","47.82353526858017","26.285537652214966","30.09842705785608","28.307729109238657","20.92259980205498","19.39929705202792","12.86647237647414","11.061280568455954","10.585822982627235","14.403838235587667","12.990742187985612","15.64238666442533","15.007896585351187","15.025891670913007","19.626895140021524","16.535425665527878","9.796809095247161","17.953129657118854","16.018431889076087","14.41305924068932","7.43947837870049","13.01603842202826","15.836059241506353","13.350616302870193","15.552735722525956","53.64348297611663","56.52139800056829","48.579213883649835","47.85294529106787","48.08083735701784","54.55979512146038","45.190406101682775","44.268601215342265","45.34439191130049","24.24651554820829","29.16402378099029","30.19186616880036","26.91582651704621","27.468914178749294","25.094116267527358","25.751795547526957","20.60426848792747","21.491200986486405","23.35084576243066","25.207424357933192","28.90847909173097","20.09085193864143","22.33735463907821","9.56668927305686","15.44916395489344","17.697568822779424","21.75816472154002","11.112936864070805","8.069414092246896","12.392884133626044","31.638372534371438","23.96713947662326","18.705429142520984","50.11544174939696","53.17200735745036","54.54098599870045","50.44792479798857","53.301454790572","49.824927639554915","50.58581455184841","45.57532736939044","50.517527492875615","31.777268447727902","28.786946689632423","35.85683161263983","28.431064814265163","16.045081956014187","10.650481316284443","26.814728627035244","19.537634207194145","23.996058283656353","19.556262091478878","17.57960089491927","21.95035371318036","21.403998606600023","21.52180894805382","29.926567701719634","29.03141349225448","19.583867192238905","17.729590888865328","26.975967994279653","28.196202233463236","24.08252803397114","19.491160127072558","22.41855785452084","7.891382131311546"
"[min]","34.5091196801202","33.67149866382458","37.90396712913405","32.80964347477726","36.63944959325453","28.42353340921505","34.464006473170116","34.155082200537045","34.67218821044609","27.432014139554845","22.962306064940254","24.69080437187277","11.719582681472447","9.488446052714407","14.791623095674508","14.99550803404996","17.718960027866647","12.353353245846579","16.891435197387295","15.719543052204545","23.267377241596197","15.36115614599596","8.3273067415715","8.669684423256967","13.804090306305241","17.209004159908442","16.495454219868805","17.284389927471008","7.355533400319404","18.891190381584504","17.192862501904496","18.61482145219943","7.0442401404648205","32.47976685714864","34.68040475957962","35.09425089461447","30.37605892409935","33.277832268850986","31.360482027253912","35.19830465859875","28.198570091539906","33.84999486905847","26.285537652214966","26.69187019151754","27.682775537018202","20.64883650452625","19.39929705202792","12.68165969267983","11.061280568455954","10.272757320069472","13.980345996432963","12.990742187985612","15.64238666442533","14.891617355680232","14.483041242658366","19.40609639607539","16.535425665527878","9.350229904797533","17.953129657118854","16.018431889076087","13.861222920385014","7.425912436110984","13.01603842202826","15.836059241506353","13.350616302870193","15.377625473782029","39.31364679722194","40.25896250704866","36.06890098454983","34.11641951150944","31.884444256068466","32.95585747229166","35.029016958965144","33.804189777461","35.01551446637148","24.24651554820829","29.16402378099029","30.19186616880036","26.241079363484392","27.468914178749294","24.701704166482862","25.07799867133796","20.60426848792747","20.867831838629446","23.1852850028287","24.677318365636715","28.90847909173097","19.905006184502223","22.33735463907821","9.369512401829605","15.168575599619357","17.415195936513356","21.54904372883752","10.796639008718241","8.023846538357397","12.14647537059452","31.638372534371438","23.96713947662326","18.080147107732664","40.057656675306134","32.75708118140276","37.30067792690124","42.11486412874058","39.528857809472456","34.93828100809461","37.06670843908812","33.21502269040904","35.76727460161712","30.642265770957202","24.9927932824487","34.186015096048656","28.396980752723074","15.4170286740333","10.650481316284443","26.505027640600623","19.434440670287923","23.890938133729723","19.556262091478878","17.57960089491927","21.85224379353129","21.403998606600023","21.52180894805382","29.926567701719634","28.2900184972947","19.583867192238905","17.409981215894067","25.682946947984497","27.952023895925628","23.98355540872191","19.491160127072558","22.41855785452084","7.690933676037373"
"[max]","60.64149159852259","63.82108951971647","56.780646542020676","53.499810134654936","54.806766192592576","51.177834545429064","47.749436862353264","44.185562470749026","48.95988000032975","38.415392478816706","44.8290324331376","44.375970945013215","52.44175232255957","45.307976933766085","48.56534877362322","46.62517825857393","45.57551960312599","48.79417499825038","39.089927412344224","43.16031334193327","44.99538761723065","39.5032253975877","46.04830934998207","38.161215374977196","45.17725895094461","41.51189401455703","45.98564099291924","42.568715889212534","43.73000684320314","38.13620505195625","46.236788781049114","38.691958513012594","43.652802604106164","61.53002344491287","60.011705462240116","55.735713254305274","56.24700887137798","55.423526255560645","54.15808717117612","47.420565846522564","47.31830810883116","50.94287145231429","43.77877035588731","39.479929238295966","38.67888197716066","36.71656149739883","40.82230834841762","47.165457176280604","53.62274817266911","48.24948230494058","44.96303121279844","48.26197216555794","41.974374040031016","39.26727814107003","45.255410340859626","34.94943302408981","42.06208225056128","48.57516167637892","40.23008689355745","46.97103536242145","47.81370344184176","45.03657045006307","44.956633659211406","41.783442682952156","43.92222900477194","43.70900716911951","61.92146008670637","62.15942779396117","60.648806020441874","57.30875658465272","56.540712261759424","58.166792937394334","53.21091146934408","47.57611380472554","47.60639326951699","45.28604866395997","40.10196603117329","41.563672196570586","43.87029456612689","41.23322823760579","45.93205672459025","44.296158907665216","50.51988546237428","44.46046626875657","44.15159203569033","44.074019703562236","45.11061295356799","42.48685387325736","43.526940211972445","37.84079375053282","40.79523313301015","50.6114275231525","45.8922019922222","46.93430587624951","44.94257335720338","44.39243200884422","40.511746509747816","39.634476998945274","55.00382755442901","61.926378445979196","60.51308703202069","60.829161242006116","56.35603330905469","56.98425525182144","54.06412399208553","50.96898473162746","52.24927478854806","51.218887903698324","43.382941168003484","42.827198253209005","41.960255656672395","41.42379830474679","50.43250006187675","50.1018522882538","41.607763823233284","47.494593728516975","37.061401973801324","45.77649911753432","55.05509904698557","42.78017790709539","42.69987730623699","41.895660612835755","38.76143141351463","37.27799524059909","45.18301910699639","49.14157303804555","43.59833550112741","38.573779367473286","39.24304728408542","47.210319220010625","39.730257713715105","42.33621513738478"
"[mean]","51.74796798397343","52.70212862758162","50.27579928844914","46.060571558135806","46.151970768951756","44.02943284517131","40.95889004719885","39.60805538542742","41.49949736815464","30.200603959672197","28.64832575556862","31.718277611463957","22.61552997317752","27.42556714256794","25.25799084685458","27.541189303318763","27.196609873292896","24.712649859562852","30.692428364089693","25.581737149058085","28.358260571238947","27.72679583648864","17.614777456141546","18.696917988041132","25.21172844133777","27.597026263682217","27.24251654979652","28.742067285579953","19.44877857206663","30.825472461138514","27.31833329412288","30.041436892771994","17.287831168909346","51.23322988268302","52.13006192074002","50.033999628152124","45.65602454344197","45.78935116251562","46.282063227107066","41.383321868650995","40.320150492060215","41.08893619498139","33.41464282285267","30.447928793032933","30.970871028856287","30.14409986611383","29.03743238032298","24.644005768584634","24.79682865076048","23.725721369734018","27.454066633493994","24.659352483811556","29.121893271381445","23.675493464608902","22.075957991127176","28.213779492513154","28.35697587813831","21.65636150617492","27.3585504527912","25.280638095705694","23.633841114235953","20.7284414320255","24.769617674697958","26.89877580474448","26.108260572327612","25.65082973617169","53.63970560525217","55.85501863866476","52.251694494294064","49.57373452113692","49.05187318831086","48.02583017728809","44.22212543731403","42.71673768731257","42.99481152988182","29.712203078905812","36.26416596388929","38.18690794548578","32.51881903517681","35.13137721847652","33.58908288226404","32.90398063661843","29.72742768792114","28.917558965290542","32.97697966417827","32.21538944494641","33.648202897213466","35.25152142213802","30.189261907894572","20.64082571998615","23.836441503641193","27.953779343385612","32.14161857000337","24.876217204253525","21.504724342701802","24.474596555622142","36.83397298127865","32.056185931448674","29.186585868270225","54.21166199409766","53.88578771236575","54.72874019100584","49.409862200277864","49.95710864523838","48.86452933869049","43.98269359655758","42.332395531718724","44.326689306688735","36.20968295958214","29.80615136382732","37.40577799264359","36.154405451926124","29.040982058708096","25.911233070499527","32.446322521534185","27.01272610940199","33.41811493202907","29.67416561391254","28.927388387428724","31.117825641939074","31.46965224966703","29.817703660870983","34.40642702973934","31.814802049218883","31.17796480261995","27.734917069411797","33.02800469482645","33.23911006969951","33.74451214430327","31.39970199361024","32.04063139763029","23.42068708421373"
