run_no,spat_feed,diff_mort,juv-mort,time,BA,no_trees
3,TRUE,TRUE,0,0,37.03093564,177
4,TRUE,TRUE,0,0,44.62580499,192
6,TRUE,TRUE,0,0,34.2533295,166
8,TRUE,TRUE,0,0,43.58084445,176
7,TRUE,TRUE,0,0,45.25628275,182
5,TRUE,TRUE,0,0,43.06157306,180
2,TRUE,TRUE,0,0,36.54474602,173
1,TRUE,TRUE,0,0,38.98493596,190
2,TRUE,TRUE,0,1,36.87675324,174
5,TRUE,TRUE,0,1,43.1468797,181
3,TRUE,TRUE,0,1,35.65965486,172
7,TRUE,TRUE,0,1,44.95974657,178
6,TRUE,TRUE,0,1,32.24648581,164
8,TRUE,TRUE,0,1,42.70510929,173
1,TRUE,TRUE,0,1,38.81715597,187
4,TRUE,TRUE,0,1,44.26090193,195
2,TRUE,TRUE,0,2,31.24421543,158
3,TRUE,TRUE,0,2,28.5975838,156
8,TRUE,TRUE,0,2,33.94318621,151
6,TRUE,TRUE,0,2,27.74876732,156
7,TRUE,TRUE,0,2,33.42045596,145
5,TRUE,TRUE,0,2,31.90970236,154
1,TRUE,TRUE,0,2,33.91213023,172
4,TRUE,TRUE,0,2,37.35738532,168
2,TRUE,TRUE,0,3,31.60352002,158
3,TRUE,TRUE,0,3,27.76132569,154
6,TRUE,TRUE,0,3,26.87874919,153
8,TRUE,TRUE,0,3,33.5282971,151
7,TRUE,TRUE,0,3,32.84556164,144
1,TRUE,TRUE,0,3,33.45576662,170
5,TRUE,TRUE,0,3,32.0422146,152
4,TRUE,TRUE,0,3,37.4094887,169
2,TRUE,TRUE,0,4,30.78817254,157
7,TRUE,TRUE,0,4,33.17858854,144
3,TRUE,TRUE,0,4,27.38744151,153
6,TRUE,TRUE,0,4,26.20406688,156
8,TRUE,TRUE,0,4,33.86449844,151
5,TRUE,TRUE,0,4,31.74104113,148
1,TRUE,TRUE,0,4,33.26991315,168
4,TRUE,TRUE,0,4,37.53485436,168
2,TRUE,TRUE,0,5,29.38525177,155
3,TRUE,TRUE,0,5,27.58168461,153
7,TRUE,TRUE,0,5,33.05851947,141
6,TRUE,TRUE,0,5,26.4898823,157
5,TRUE,TRUE,0,5,32.01960433,146
8,TRUE,TRUE,0,5,33.17233828,149
1,TRUE,TRUE,0,5,32.94321005,167
4,TRUE,TRUE,0,5,37.40742297,164
2,TRUE,TRUE,0,6,29.39868985,154
3,TRUE,TRUE,0,6,27.48218965,154
6,TRUE,TRUE,0,6,26.7744116,158
7,TRUE,TRUE,0,6,32.93659776,139
1,TRUE,TRUE,0,6,31.92387457,163
8,TRUE,TRUE,0,6,32.62303609,150
5,TRUE,TRUE,0,6,32.25922839,146
3,TRUE,TRUE,0,7,27.57039165,153
2,TRUE,TRUE,0,7,28.93101563,152
4,TRUE,TRUE,0,6,36.69474188,163
7,TRUE,TRUE,0,7,32.34649042,139
6,TRUE,TRUE,0,7,27.17222758,159
1,TRUE,TRUE,0,7,30.96891559,160
8,TRUE,TRUE,0,7,32.58347538,153
5,TRUE,TRUE,0,7,32.60301236,149
4,TRUE,TRUE,0,7,36.92018381,162
2,TRUE,TRUE,0,8,29.2445065,155
3,TRUE,TRUE,0,8,27.322758,152
7,TRUE,TRUE,0,8,30.7262804,140
6,TRUE,TRUE,0,8,26.53368326,154
8,TRUE,TRUE,0,8,32.10017104,153
1,TRUE,TRUE,0,8,30.10027723,160
5,TRUE,TRUE,0,8,32.86900849,151
3,TRUE,TRUE,0,9,27.69369426,154
2,TRUE,TRUE,0,9,29.22524065,156
7,TRUE,TRUE,0,9,31.0373033,141
6,TRUE,TRUE,0,9,26.12500695,149
4,TRUE,TRUE,0,8,36.65256775,161
8,TRUE,TRUE,0,9,31.32776135,148
1,TRUE,TRUE,0,9,30.16877558,160
5,TRUE,TRUE,0,9,32.40917663,147
3,TRUE,TRUE,0,10,27.71206346,150
6,TRUE,TRUE,0,10,26.34051366,150
7,TRUE,TRUE,0,10,30.9369409,143
2,TRUE,TRUE,0,10,27.38346592,155
8,TRUE,TRUE,0,10,31.09923214,148
1,TRUE,TRUE,0,10,30.31685902,162
5,TRUE,TRUE,0,10,31.94713235,150
4,TRUE,TRUE,0,9,36.90043808,164
6,TRUE,TRUE,0,11,26.02226624,149
3,TRUE,TRUE,0,11,27.69572101,151
7,TRUE,TRUE,0,11,31.2305184,144
2,TRUE,TRUE,0,11,27.20054366,154
8,TRUE,TRUE,0,11,31.11030982,149
1,TRUE,TRUE,0,11,30.1094553,161
5,TRUE,TRUE,0,11,31.2795963,149
4,TRUE,TRUE,0,10,37.32059215,166
6,TRUE,TRUE,0,12,26.36423298,150
3,TRUE,TRUE,0,12,27.00591609,153
2,TRUE,TRUE,0,12,27.52857257,157
7,TRUE,TRUE,0,12,31.64232259,145
8,TRUE,TRUE,0,12,31.48797791,149
4,TRUE,TRUE,0,11,35.31303437,162
1,TRUE,TRUE,0,12,28.51570346,162
5,TRUE,TRUE,0,12,31.49408645,153
6,TRUE,TRUE,0,13,25.80762144,153
3,TRUE,TRUE,0,13,27.3703845,153
2,TRUE,TRUE,0,13,26.3660834,159
7,TRUE,TRUE,0,13,31.29976769,149
8,TRUE,TRUE,0,13,30.21740363,153
1,TRUE,TRUE,0,13,28.59612521,161
6,TRUE,TRUE,0,14,26.06725104,154
5,TRUE,TRUE,0,13,31.27855975,150
3,TRUE,TRUE,0,14,27.50577701,156
2,TRUE,TRUE,0,14,26.11007843,159
7,TRUE,TRUE,0,14,31.58262875,149
4,TRUE,TRUE,0,12,34.44917268,160
8,TRUE,TRUE,0,14,29.46473485,151
1,TRUE,TRUE,0,14,28.97807035,163
6,TRUE,TRUE,0,15,26.44970937,155
5,TRUE,TRUE,0,14,30.88841945,151
3,TRUE,TRUE,0,15,26.77278342,159
2,TRUE,TRUE,0,15,26.49280564,160
7,TRUE,TRUE,0,15,31.74891727,153
4,TRUE,TRUE,0,13,34.85770616,160
8,TRUE,TRUE,0,15,29.83972782,155
1,TRUE,TRUE,0,15,29.08636768,160
5,TRUE,TRUE,0,15,30.77260985,153
6,TRUE,TRUE,0,16,24.69248085,150
3,TRUE,TRUE,0,16,26.78201136,157
2,TRUE,TRUE,0,16,26.18206496,159
7,TRUE,TRUE,0,16,30.0687723,150
4,TRUE,TRUE,0,14,34.80075039,161
8,TRUE,TRUE,0,16,30.15537809,155
6,TRUE,TRUE,0,17,24.50819944,153
1,TRUE,TRUE,0,16,29.33222917,162
3,TRUE,TRUE,0,17,27.03449732,161
5,TRUE,TRUE,0,16,31.12124432,154
2,TRUE,TRUE,0,17,26.30283438,162
7,TRUE,TRUE,0,17,29.91777639,151
4,TRUE,TRUE,0,15,34.60829549,160
6,TRUE,TRUE,0,18,24.62933331,155
8,TRUE,TRUE,0,17,30.35878006,161
3,TRUE,TRUE,0,18,27.12972643,160
1,TRUE,TRUE,0,17,29.42444798,161
2,TRUE,TRUE,0,18,26.42835181,164
5,TRUE,TRUE,0,17,30.14142768,153
7,TRUE,TRUE,0,18,29.55016765,154
6,TRUE,TRUE,0,19,24.67470308,155
8,TRUE,TRUE,0,18,30.41656252,162
3,TRUE,TRUE,0,19,26.71801278,162
1,TRUE,TRUE,0,18,29.0913909,162
2,TRUE,TRUE,0,19,26.52034175,163
4,TRUE,TRUE,0,16,34.8032008,158
5,TRUE,TRUE,0,18,30.28718081,153
7,TRUE,TRUE,0,19,29.70256478,151
8,TRUE,TRUE,0,19,30.73004611,165
