run_no,spat_feed,diff_mort,juv-mort,time,BA,no_trees
3,TRUE,TRUE,0.4,0,38.93981822,191
2,TRUE,TRUE,0.2,0,41.55919057,197
4,TRUE,TRUE,0.6,0,44.72401357,200
1,TRUE,TRUE,0,0,45.65096457,190
2,TRUE,TRUE,0.2,1,42.03073481,198
3,TRUE,TRUE,0.4,1,38.80186895,192
4,TRUE,TRUE,0.6,1,44.2907173,199
1,TRUE,TRUE,0,1,46.12992701,192
4,TRUE,TRUE,0.6,2,44.06997865,188
2,TRUE,TRUE,0.2,2,42.29444924,192
3,TRUE,TRUE,0.4,2,38.52185643,190
1,TRUE,TRUE,0,2,46.53521466,189
4,TRUE,TRUE,0.6,3,42.65453267,166
2,TRUE,TRUE,0.2,3,41.20294038,177
3,TRUE,TRUE,0.4,3,38.82259552,189
1,TRUE,TRUE,0,3,46.02834041,171
4,TRUE,TRUE,0.6,4,40.25272789,151
2,TRUE,TRUE,0.2,4,39.54755246,165
4,TRUE,TRUE,0.6,5,38.99243631,145
3,TRUE,TRUE,0.4,4,38.58296424,181
1,TRUE,TRUE,0,4,44.01793591,153
2,TRUE,TRUE,0.2,5,38.22812418,162
4,TRUE,TRUE,0.6,6,39.07701705,143
4,TRUE,TRUE,0.6,7,39.34094184,143
2,TRUE,TRUE,0.2,6,38.6206259,163
3,TRUE,TRUE,0.4,5,37.89163856,173
1,TRUE,TRUE,0,5,41.96160878,141
2,TRUE,TRUE,0.2,7,39.03378239,165
4,TRUE,TRUE,0.6,8,38.75118422,141
3,TRUE,TRUE,0.4,6,37.81418149,170
4,TRUE,TRUE,0.6,9,38.61273999,141
1,TRUE,TRUE,0,6,40.68790617,136
3,TRUE,TRUE,0.4,7,37.920143,167
4,TRUE,TRUE,0.6,10,36.66416683,135
2,TRUE,TRUE,0.2,8,38.39752901,163
4,TRUE,TRUE,0.6,11,36.66584278,136
1,TRUE,TRUE,0,7,40.16505652,133
2,TRUE,TRUE,0.2,9,38.66963111,161
3,TRUE,TRUE,0.4,8,38.17871143,167
4,TRUE,TRUE,0.6,12,37.06393894,137
2,TRUE,TRUE,0.2,10,38.93959134,162
4,TRUE,TRUE,0.6,13,35.99364566,134
3,TRUE,TRUE,0.4,9,38.59337852,170
1,TRUE,TRUE,0,8,39.37637936,130
4,TRUE,TRUE,0.6,14,36.28852912,136
2,TRUE,TRUE,0.2,11,39.03691894,162
4,TRUE,TRUE,0.6,15,36.07184026,135
3,TRUE,TRUE,0.4,10,38.25339213,168
1,TRUE,TRUE,0,9,38.7135901,130
2,TRUE,TRUE,0.2,12,39.44996592,162
3,TRUE,TRUE,0.4,11,37.9870786,169
4,TRUE,TRUE,0.6,16,36.19338933,134
4,TRUE,TRUE,0.6,17,36.57495128,135
2,TRUE,TRUE,0.2,13,38.73015122,159
1,TRUE,TRUE,0,10,37.97593283,126
4,TRUE,TRUE,0.6,18,36.05733751,133
4,TRUE,TRUE,0.6,19,36.43443705,133
3,TRUE,TRUE,0.4,12,38.3837765,169
2,TRUE,TRUE,0.2,14,38.38282265,157
1,TRUE,TRUE,0,11,37.76608175,126
4,TRUE,TRUE,0.6,20,35.96689285,132
2,TRUE,TRUE,0.2,15,38.78413232,159
3,TRUE,TRUE,0.4,13,37.89230609,167
4,TRUE,TRUE,0.6,21,35.95375974,132
4,TRUE,TRUE,0.6,22,35.99358938,135
3,TRUE,TRUE,0.4,14,36.59178999,163
4,TRUE,TRUE,0.6,23,34.33002855,132
2,TRUE,TRUE,0.2,16,37.75541233,158
1,TRUE,TRUE,0,12,37.84159129,127
3,TRUE,TRUE,0.4,15,35.80965172,163
4,TRUE,TRUE,0.6,24,34.61234644,133
2,TRUE,TRUE,0.2,17,37.51254564,160
1,TRUE,TRUE,0,13,37.08544904,127
4,TRUE,TRUE,0.6,25,34.38664144,136
2,TRUE,TRUE,0.2,18,37.0600892,158
4,TRUE,TRUE,0.6,26,33.06483908,134
3,TRUE,TRUE,0.4,16,35.79896534,164
4,TRUE,TRUE,0.6,27,33.06096065,134
2,TRUE,TRUE,0.2,19,36.9977444,155
1,TRUE,TRUE,0,14,36.95876114,128
3,TRUE,TRUE,0.4,17,36.17475809,165
4,TRUE,TRUE,0.6,28,32.98382844,138
4,TRUE,TRUE,0.6,29,33.30391384,138
3,TRUE,TRUE,0.4,18,35.5503652,163
2,TRUE,TRUE,0.2,20,37.25390415,156
1,TRUE,TRUE,0,15,37.31231894,129
4,TRUE,TRUE,0.6,30,33.509435,137
4,TRUE,TRUE,0.6,31,33.84852853,137
3,TRUE,TRUE,0.4,19,35.25964062,164
2,TRUE,TRUE,0.2,21,37.43373906,156
4,TRUE,TRUE,0.6,32,32.62377733,133
2,TRUE,TRUE,0.2,22,37.44231633,156
1,TRUE,TRUE,0,16,37.5080253,128
4,TRUE,TRUE,0.6,33,31.51624744,130
3,TRUE,TRUE,0.4,20,35.13050676,164
4,TRUE,TRUE,0.6,34,30.91243965,125
