run_no,spat_feed,diff_mort,juv-mort,time,BA,no_trees
4,TRUE,TRUE,0,0,48.15385524,199
3,TRUE,TRUE,0,0,42.28595099,187
2,TRUE,TRUE,0,0,38.20933274,179
1,TRUE,TRUE,0,0,47.44741251,193
4,TRUE,TRUE,0,1,48.63380057,202
3,TRUE,TRUE,0,1,42.75726987,189
2,TRUE,TRUE,0,1,37.63245899,180
1,TRUE,TRUE,0,1,47.96879948,193
4,TRUE,TRUE,0,2,48.81091802,193
2,TRUE,TRUE,0,2,38.09302254,181
3,TRUE,TRUE,0,2,43.10712613,188
1,TRUE,TRUE,0,2,48.21035048,187
2,TRUE,TRUE,0,3,38.38963766,178
4,TRUE,TRUE,0,3,47.4774722,173
3,TRUE,TRUE,0,3,42.26964016,172
1,TRUE,TRUE,0,3,46.69579739,165
2,TRUE,TRUE,0,4,38.15498133,166
4,TRUE,TRUE,0,4,45.08575671,157
3,TRUE,TRUE,0,4,41.07130242,161
1,TRUE,TRUE,0,4,45.14752927,155
2,TRUE,TRUE,0,5,37.02425382,159
4,TRUE,TRUE,0,5,43.59959208,151
3,TRUE,TRUE,0,5,40.13923874,158
1,TRUE,TRUE,0,5,45.10229263,151
2,TRUE,TRUE,0,6,37.36375095,158
4,TRUE,TRUE,0,6,42.68552047,151
3,TRUE,TRUE,0,6,40.48965223,158
1,TRUE,TRUE,0,6,44.73525605,149
2,TRUE,TRUE,0,7,37.40134199,158
4,TRUE,TRUE,0,7,41.37178606,149
3,TRUE,TRUE,0,7,40.72946822,157
1,TRUE,TRUE,0,7,45.18831348,149
2,TRUE,TRUE,0,8,37.76902235,159
4,TRUE,TRUE,0,8,41.75501585,150
1,TRUE,TRUE,0,8,45.46981566,150
3,TRUE,TRUE,0,8,39.77415353,153
2,TRUE,TRUE,0,9,37.4815524,160
4,TRUE,TRUE,0,9,42.10016485,149
1,TRUE,TRUE,0,9,45.872984,152
2,TRUE,TRUE,0,10,37.90081165,162
3,TRUE,TRUE,0,9,40.06914667,152
4,TRUE,TRUE,0,10,40.9579218,146
1,TRUE,TRUE,0,10,45.51060673,147
2,TRUE,TRUE,0,11,37.87491626,162
3,TRUE,TRUE,0,10,40.01994048,153
4,TRUE,TRUE,0,11,41.20208038,145
1,TRUE,TRUE,0,11,45.81281636,147
3,TRUE,TRUE,0,11,40.33412452,153
2,TRUE,TRUE,0,12,38.20067707,164
4,TRUE,TRUE,0,12,41.56264481,144
1,TRUE,TRUE,0,12,46.08141048,146
2,TRUE,TRUE,0,13,38.60714222,167
3,TRUE,TRUE,0,12,40.72599609,155
2,TRUE,TRUE,0,14,38.99493466,167
4,TRUE,TRUE,0,13,41.48992256,143
1,TRUE,TRUE,0,13,45.85640212,145
3,TRUE,TRUE,0,13,40.77569862,155
2,TRUE,TRUE,0,15,39.14316234,166
4,TRUE,TRUE,0,14,41.51602836,143
1,TRUE,TRUE,0,14,46.11946243,147
3,TRUE,TRUE,0,14,41.18831776,158
4,TRUE,TRUE,0,15,41.91914014,144
1,TRUE,TRUE,0,15,44.22050434,145
2,TRUE,TRUE,0,16,39.52142655,166
3,TRUE,TRUE,0,15,41.23896426,161
2,TRUE,TRUE,0,17,40.01113112,170
4,TRUE,TRUE,0,16,42.32208105,147
1,TRUE,TRUE,0,16,44.40918565,147
3,TRUE,TRUE,0,16,41.64998157,162
2,TRUE,TRUE,0,18,40.28266094,170
