"BehaviorSpace results (NetLogo 5.1.0)"
"Denny_mort_4.3.32.nlogo"
"Experiment_1"
"01/24/2016 18:48:58:380 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","99","0","99"
"[run number]","spatial-feedback?","juvenile-mortality","drought-rate","[step]","sum [BA] of trees","count trees with [tree-size-t1 > 10]","mean [tree-size-t1] of trees","standard-deviation [tree-size-t1] of trees"
"8","true","0","1","0","42.00737763825723","384","34.5528241338524","14.117051011712508"
"5","true","0","1","0","41.98385858195809","310","38.34357842797447","15.960558699046569"
"6","true","0","1","0","41.752276831986954","328","36.81096578687646","16.31888801810692"
"4","true","0","1","0","43.94573546592416","317","38.70623846291616","16.35650424077522"
"2","true","0","1","0","40.291654674577075","341","35.556020662149535","15.514711684578405"
"1","true","0","1","0","40.752695470501905","306","37.794802212546145","16.367436595887003"
"7","true","0","1","0","42.231466823127114","391","34.24983475099706","14.230250634659104"
"3","true","0","1","0","41.14324128277316","371","34.8080130698192","14.168992486872868"
"5","true","0","1","1","41.74672472041866","306","24.610761649588184","21.740132151089586"
"6","true","0","1","1","41.186179549247946","323","24.65578632375802","21.198779007866328"
"4","true","0","1","1","43.72470924892936","313","28.249858874928226","21.662776878368202"
"2","true","0","1","1","39.970542765117735","338","25.745235714905473","20.093501247183436"
"1","true","0","1","1","40.758956281937756","305","20.031548911883558","21.361776761958126"
"7","true","0","1","1","41.306045337706024","381","21.304316753626814","19.30150609845289"
"5","true","0","1","2","41.328175142656434","304","24.511131562166224","21.56989849332568"
"8","true","0","1","1","41.500276633250024","376","25.87757809229183","18.868503580015517"
"6","true","0","1","2","40.949280434732685","321","24.551578822454758","21.094135355545784"
"4","true","0","1","2","42.80649258089712","308","28.62301872391024","21.332205021825512"
"2","true","0","1","2","39.74241488800099","335","25.723742965990184","19.996134891271463"
"1","true","0","1","2","40.7600935006387","303","20.100773539527346","21.28396911854282"
"3","true","0","1","1","40.645828311671316","367","20.28770512042329","19.389669567008873"
"7","true","0","1","2","40.962307407527796","378","21.26547477859196","19.15791188893737"
"5","true","0","1","3","41.30976962572023","300","24.623720661024954","21.581420188549533"
"6","true","0","1","3","40.9327177770195","319","24.57540143843586","21.056248548819468"
"8","true","0","1","2","41.38898496468339","370","26.45284436248903","18.780008657069065"
"5","true","0","1","4","41.30895354853842","298","25.06672975221389","21.533777081729"
"6","true","0","1","4","40.89086865112802","317","24.325679657658405","21.02573029290244"
"7","true","0","1","3","40.814508674107486","376","20.958774260666914","19.05852007882916"
"4","true","0","1","3","42.23914840357328","303","28.548685688774988","21.314496115535043"
"2","true","0","1","3","39.880193948022544","334","25.87269194426922","19.95215244828221"
"1","true","0","1","3","40.109141842152624","297","20.28050376171806","21.19275307172229"
