run_no,spat_feed,juv-mort,time,BA,no_trees,tree_size,tree_size_SD
4,TRUE,0,0,43.81997127,421,33.45663737,14.360657
1,TRUE,0,0,44.41276729,420,33.61648975,14.71924065
4,TRUE,0,1,43.78792072,417,32.60636759,15.19488342
3,TRUE,0,0,43.51664576,420,33.73348923,13.47330298
2,TRUE,0,0,48.31277838,421,35.06904589,15.22027627
1,TRUE,0,1,44.18624243,418,27.66095498,18.06726933
4,TRUE,0,2,44.01096373,417,32.80119898,15.08695264
3,TRUE,0,1,42.99702399,416,23.95420927,18.40597042
2,TRUE,0,1,48.14745976,420,26.17950669,19.55458912
1,TRUE,0,2,43.31034123,411,27.44949204,18.00227737
2,TRUE,0,2,47.57856654,413,26.01897502,19.56147914
3,TRUE,0,2,43.12823254,413,23.84435467,18.4279429
4,TRUE,0,3,43.88248179,413,32.79002617,15.18698021
2,TRUE,0,3,47.55396633,410,26.09460091,19.54096841
3,TRUE,0,3,42.69296303,408,23.8107839,18.34351682
1,TRUE,0,3,42.95980478,406,27.4427697,18.00398048
4,TRUE,0,4,43.36560324,408,32.80697038,15.14563312
1,TRUE,0,4,42.08374829,399,27.22002359,17.84815144
4,TRUE,0,5,43.05332381,403,32.92836436,15.08354154
2,TRUE,0,4,47.28087984,405,26.09595967,19.52647549
3,TRUE,0,4,42.23104639,404,23.90987147,18.19235354
1,TRUE,0,5,41.9497055,395,27.21903925,17.87194565
2,TRUE,0,5,47.33867735,403,26.14397439,19.49557909
3,TRUE,0,5,42.15288669,399,23.93347249,18.19900504
4,TRUE,0,6,42.78575606,399,33.00301405,15.06773886
1,TRUE,0,6,41.66878388,390,27.13389764,17.92031342
2,TRUE,0,6,47.12554588,400,26.12544217,19.44515206
4,TRUE,0,7,42.24414132,395,32.99084911,14.96180703
3,TRUE,0,6,42.06992507,397,23.73369449,18.1645477
1,TRUE,0,7,41.71139963,388,27.30477357,17.86784387
4,TRUE,0,8,42.17306142,390,33.21054206,14.94244222
2,TRUE,0,7,46.62810224,395,25.93304808,19.41582511
3,TRUE,0,7,41.91839255,395,23.55065088,18.11146941
1,TRUE,0,8,41.36352576,384,27.26346349,17.80167155
2,TRUE,0,8,45.66450045,391,25.60550564,19.19759359
4,TRUE,0,9,41.94167997,385,33.26549703,15.01739921
3,TRUE,0,8,41.17950566,390,23.13857882,18.01748553
2,TRUE,0,9,44.95894174,386,25.49153308,19.07569354
1,TRUE,0,9,40.99056964,380,27.03949239,17.81639384
4,TRUE,0,10,41.68145083,381,33.34114295,15.01834581
3,TRUE,0,9,40.77424649,386,22.94035577,17.91944537
2,TRUE,0,10,45.08067412,384,25.43042242,19.08882648
1,TRUE,0,10,40.68479444,375,27.06954845,17.78711554
4,TRUE,0,11,41.56746282,378,33.38000693,15.0354858
3,TRUE,0,10,40.72541251,382,22.94621836,17.9220499
2,TRUE,0,11,44.99826921,382,25.47879451,19.02140665
1,TRUE,0,11,40.66994636,370,27.1485991,17.83603937
4,TRUE,0,12,41.20412654,374,33.34973954,15.05138748
3,TRUE,0,11,40.74652591,380,22.7876602,17.90720508
2,TRUE,0,12,44.36417157,378,25.15711439,18.93820836
4,TRUE,0,13,40.56394343,369,33.34470302,14.9364649
1,TRUE,0,12,40.7455081,367,27.00365959,17.93163904
2,TRUE,0,13,43.33015205,371,25.00529611,18.84611802
4,TRUE,0,14,40.41614542,365,33.3934763,15.01295485
1,TRUE,0,13,40.50119746,364,26.5605466,18.06928821
3,TRUE,0,12,40.78189773,377,22.67891062,17.91466678
2,TRUE,0,14,42.20853814,366,24.6093828,18.64901933
4,TRUE,0,15,40.34069643,363,33.30716586,15.12161897
1,TRUE,0,14,39.83018341,359,26.02309973,18.10030638
3,TRUE,0,13,40.74879567,376,22.5648724,17.89068704
4,TRUE,0,16,39.65306301,359,32.97954136,15.19980513
1,TRUE,0,15,39.38251599,353,25.59205763,18.24058074
2,TRUE,0,15,41.99857901,362,24.17840083,18.73105867
3,TRUE,0,14,39.93108566,369,22.36818117,17.81799919
4,TRUE,0,17,39.04854447,353,32.65062958,15.47177534
1,TRUE,0,16,38.73321079,347,25.0281527,18.31789044
2,TRUE,0,16,41.90793669,361,23.93830953,18.72636977
3,TRUE,0,15,39.58748236,366,22.1817436,17.74478706
4,TRUE,0,18,38.87451006,352,32.2511193,15.6848526
2,TRUE,0,17,41.50391339,357,23.9447153,18.64901202
3,TRUE,0,16,39.13012725,360,21.83899513,17.76542692
4,TRUE,0,19,38.74866888,350,31.973641,15.90809124
1,TRUE,0,17,38.28638433,342,24.6117752,18.37839121
2,TRUE,0,18,41.42223312,354,23.74919948,18.6810189
4,TRUE,0,20,38.23589194,346,31.69515283,16.03684502
3,TRUE,0,17,38.84051971,356,21.59452449,17.75902224
1,TRUE,0,18,38.25281543,340,24.12368874,18.46952379
2,TRUE,0,19,40.72905718,346,23.35358028,18.72984904
4,TRUE,0,21,38.17969425,345,31.12941991,16.38619644
3,TRUE,0,18,38.85794695,355,21.3575675,17.74709975
1,TRUE,0,19,37.82127975,336,23.43452532,18.5268942
2,TRUE,0,20,40.04922899,340,22.78464194,18.71181598
3,TRUE,0,19,38.96636484,355,21.25716273,17.72610827
4,TRUE,0,22,37.83016411,342,30.41501216,16.72578317
1,TRUE,0,20,37.16337653,333,22.78850311,18.39884289
2,TRUE,0,21,39.3672733,336,22.46749882,18.58242278
3,TRUE,0,20,38.13203465,350,20.88448714,17.57632922
4,TRUE,0,23,37.19726643,337,29.59397838,17.07099629
1,TRUE,0,21,37.1612924,332,22.23232368,18.42138726
2,TRUE,0,22,39.46402472,336,22.14271661,18.57242362
4,TRUE,0,24,36.71068262,334,27.89549144,17.66989347
1,TRUE,0,22,37.14300044,330,21.68370403,18.44500303
3,TRUE,0,21,37.89268774,346,20.70776458,17.5556169
2,TRUE,0,23,39.45411107,334,21.97346911,18.54499598
4,TRUE,0,25,36.7745364,332,26.9195028,18.05416575
3,TRUE,0,22,37.59670267,342,20.36602423,17.5412435
2,TRUE,0,24,38.74752437,327,21.48156725,18.50928057
1,TRUE,0,23,36.76461868,327,21.20807231,18.33574398
4,TRUE,0,26,36.64142277,329,25.62038198,18.41631206
3,TRUE,0,23,37.59177665,340,20.30402381,17.48557134
2,TRUE,0,25,38.13476418,322,20.9735879,18.40596778
1,TRUE,0,24,36.61725714,323,20.82892285,18.33208241
4,TRUE,0,27,36.02022993,324,24.3206665,18.58159983
3,TRUE,0,24,37.41265242,337,20.2060764,17.40949811
1,TRUE,0,25,36.83838136,323,19.92859778,18.2782432
4,TRUE,0,28,36.22241599,324,23.71995075,18.64743876
2,TRUE,0,26,37.67185667,318,20.57446442,18.30250624
4,TRUE,0,29,36.28254015,322,23.21971762,18.70627895
1,TRUE,0,26,36.66386134,321,19.57449563,18.13741961
3,TRUE,0,25,37.12438072,334,20.05777922,17.30338658
2,TRUE,0,27,37.02028274,314,20.28219094,18.10866607
4,TRUE,0,30,35.9869162,317,22.91947498,18.7015312
1,TRUE,0,27,36.7236189,320,18.73005807,18.0142915
3,TRUE,0,26,37.14467862,332,20.10448652,17.25945302
2,TRUE,0,28,36.42722175,308,19.99887979,17.97096064
4,TRUE,0,31,35.46155529,310,22.47678849,18.72335448
1,TRUE,0,28,36.37504669,318,18.05265933,17.77930318
3,TRUE,0,27,36.68950025,329,19.90271171,17.09579922
2,TRUE,0,29,36.04043875,305,19.54681532,17.80091408
4,TRUE,0,32,34.42742347,303,21.84982314,18.59100091
1,TRUE,0,29,36.21719771,316,17.15110424,17.53947024
3,TRUE,0,28,36.00393932,325,19.80871351,16.82582374
4,TRUE,0,33,33.73036014,299,21.34843562,18.40434579
1,TRUE,0,30,35.68554639,310,16.40896298,17.29781575
2,TRUE,0,30,35.58986271,300,19.18523095,17.68618603
4,TRUE,0,34,33.39752266,295,20.47216797,18.39067551
3,TRUE,0,29,35.91018022,323,19.62939817,16.75153359
4,TRUE,0,35,32.62525259,290,19.45849854,18.19085561
2,TRUE,0,31,35.50549489,298,18.84309056,17.58567802
3,TRUE,0,30,35.60590755,319,19.58189939,16.66634719
1,TRUE,0,31,35.72299883,308,16.01377085,17.14599718
2,TRUE,0,32,34.89884531,293,18.46853621,17.44340791
1,TRUE,0,32,35.83863921,308,15.85391378,17.05731911
4,TRUE,0,36,32.37817684,286,18.70459325,18.10261609
3,TRUE,0,31,35.67484364,316,19.47620409,16.65692559
1,TRUE,0,33,35.65448847,306,15.63189094,16.92140219
4,TRUE,0,37,32.30086854,284,18.16603861,18.01189422
2,TRUE,0,33,34.92081979,292,18.16637987,17.37805811
3,TRUE,0,32,35.42488035,312,19.29237024,16.64830316
4,TRUE,0,38,32.26348604,283,17.31713063,17.84656837
1,TRUE,0,34,34.75843074,303,15.415423,16.61587301
2,TRUE,0,34,35.03717858,292,17.73280281,17.28617078
3,TRUE,0,33,35.0962516,308,19.22481277,16.60042031
4,TRUE,0,39,32.21558424,281,16.61142865,17.67223364
1,TRUE,0,35,34.05910813,297,15.09726071,16.42312303
2,TRUE,0,35,35.15888102,292,17.51606682,17.20735208
4,TRUE,0,40,31.87704037,277,15.40765684,17.32460532
1,TRUE,0,36,33.5191915,294,14.81746405,16.18421738
2,TRUE,0,36,34.85299316,289,17.2077147,17.08959649
3,TRUE,0,34,34.69690653,305,18.90823924,16.52508402
4,TRUE,0,41,31.68757218,276,14.63690363,16.97431504
2,TRUE,0,37,34.6823431,285,16.60584465,16.96969206
3,TRUE,0,35,34.21484093,299,18.5090166,16.47368216
1,TRUE,0,37,33.53600336,293,14.67263147,16.07509512
4,TRUE,0,42,31.85879778,275,14.04352877,16.69896982
2,TRUE,0,38,34.47623366,283,16.11123168,16.79636248
3,TRUE,0,36,34.11046467,297,18.26185905,16.43442154
1,TRUE,0,38,33.18190646,289,14.39724109,15.91412462
4,TRUE,0,43,31.74532763,273,13.66435316,16.41304675
2,TRUE,0,39,34.40133297,280,15.48619475,16.62990308
1,TRUE,0,39,33.30096089,289,14.09047706,15.7820641
3,TRUE,0,37,33.92922597,294,18.02059164,16.37756771
4,TRUE,0,44,31.52325443,271,13.1676283,16.05289151
1,TRUE,0,40,33.07228212,287,13.78191593,15.57899496
2,TRUE,0,40,34.37921234,278,15.05038861,16.47145576
3,TRUE,0,38,33.82388409,291,17.6542195,16.33371704
4,TRUE,0,45,31.30919815,278,12.82320812,15.74068076
1,TRUE,0,41,33.01272732,285,13.51682796,15.42523597
2,TRUE,0,41,34.51743996,278,14.64749063,16.29823989
3,TRUE,0,39,33.65427244,288,17.08588947,16.25653746
4,TRUE,0,46,31.40877683,276,12.75243167,15.59647723
1,TRUE,0,42,33.17941779,283,13.40577573,15.30800971
2,TRUE,0,42,34.34927857,274,14.35504635,16.12618984
3,TRUE,0,40,33.67217671,287,16.78825037,16.18358765
4,TRUE,0,47,31.24761954,275,12.43604144,15.32948382
1,TRUE,0,43,33.22298408,280,13.27729966,15.16361624
2,TRUE,0,43,34.60202779,274,14.21301419,16.00923844
4,TRUE,0,48,31.46278281,274,12.34637171,15.19329522
1,TRUE,0,44,33.19279566,278,13.18827013,15.00062044
3,TRUE,0,41,33.58822444,285,16.52276786,16.12229679
4,TRUE,0,49,31.61180675,273,12.27925113,15.04509914
2,TRUE,0,44,34.87680673,274,14.01937676,15.85635388
3,TRUE,0,42,33.68041173,283,16.26451633,16.02753251
1,TRUE,0,45,32.5556519,340,13.04809471,14.70723203
2,TRUE,0,45,34.68962129,385,13.68966171,15.65578957
4,TRUE,0,50,31.72779888,272,12.20976736,14.89291536
3,TRUE,0,43,33.76457031,281,16.01177122,15.93582994
1,TRUE,0,46,32.78810109,347,13.049134,14.60415611
5,TRUE,0,0,47.01703732,416,35.0177816,14.59856151
2,TRUE,0,46,34.62263527,392,13.386246,15.43346024
3,TRUE,0,44,33.8357341,279,15.82190795,15.84176378
5,TRUE,0,1,46.50222982,413,21.26816059,19.67812583
1,TRUE,0,47,33.08201171,347,13.05036817,14.51731542
2,TRUE,0,47,33.80260301,390,13.00552494,14.98609072
5,TRUE,0,2,45.01237516,407,20.83035615,19.30421765
3,TRUE,0,45,33.95903048,408,15.5710886,15.71598754
5,TRUE,0,3,44.91385629,405,20.67420727,19.19369868
1,TRUE,0,48,33.23997034,349,13.04468169,14.41929905
5,TRUE,0,4,44.7675823,401,20.65940173,19.14130277
3,TRUE,0,46,33.52412417,417,15.31804725,15.52392473
2,TRUE,0,48,34.11000352,393,12.82544671,14.82527148
1,TRUE,0,49,33.54418672,351,13.15166465,14.35856104
3,TRUE,0,47,33.72698082,418,15.11247706,15.43348953
5,TRUE,0,5,44.74759366,398,20.5131858,19.09035063
2,TRUE,0,49,34.28153363,395,12.6504112,14.65968832
1,TRUE,0,50,33.60940394,349,13.13174832,14.25221005
5,TRUE,0,6,44.59301524,393,20.50386632,19.0568395
3,TRUE,0,48,33.25553746,414,14.82451879,15.22996665
2,TRUE,0,50,34.44160761,395,12.5408943,14.51045092
6,TRUE,0,0,41.23635731,415,33.00024917,13.28139471
5,TRUE,0,7,44.53251216,391,20.32629675,18.96783463
6,TRUE,0,1,41.34006772,413,21.4040666,18.37618663
7,TRUE,0,0,45.87333498,395,34.91857694,16.11943426
3,TRUE,0,49,33.23408807,414,14.60153136,15.09532321
7,TRUE,0,1,45.75213717,393,26.60105606,19.98483509
6,TRUE,0,2,41.56122782,412,21.3124171,18.3315492
5,TRUE,0,8,43.83396017,385,20.24432085,18.81719489
7,TRUE,0,2,45.68964336,388,26.74660607,19.99224122
6,TRUE,0,3,41.46087175,409,21.30134897,18.25962124
3,TRUE,0,50,33.46580203,420,14.38511293,15.00301587
6,TRUE,0,4,41.53769293,404,21.3239138,18.27337293
5,TRUE,0,9,43.46576234,379,20.15984453,18.76478525
8,TRUE,0,0,47.2968564,421,34.66116762,15.14503396
7,TRUE,0,3,44.73739821,385,26.57730912,19.68728098
8,TRUE,0,1,47.30227014,420,30.94701859,17.64016181
6,TRUE,0,5,41.20714935,400,21.14733901,18.17990322
5,TRUE,0,10,43.30894076,377,19.92174636,18.64787396
8,TRUE,0,2,47.16299789,416,30.94075709,17.68454662
7,TRUE,0,4,44.60558088,382,26.5655551,19.67478024
6,TRUE,0,6,40.77414065,396,20.84143505,18.06073164
8,TRUE,0,3,46.76104802,414,30.77563811,17.59123925
5,TRUE,0,11,43.50135495,376,19.85819137,18.58936252
7,TRUE,0,5,44.55540602,381,26.50865314,19.61361724
6,TRUE,0,7,40.68316165,393,20.71367662,18.0076057
8,TRUE,0,4,46.45361761,412,30.73272482,17.5059597
7,TRUE,0,6,44.18103566,376,26.61691157,19.55307128
6,TRUE,0,8,40.47457628,387,20.67677948,17.972563
5,TRUE,0,12,43.27496629,373,19.80617926,18.48764317
8,TRUE,0,5,45.48952981,406,30.63399837,17.38624869
6,TRUE,0,9,40.09528872,381,20.42132866,17.92013423
7,TRUE,0,7,43.43529991,371,26.23389691,19.49552993
8,TRUE,0,6,45.1353811,400,30.70476255,17.36712975
5,TRUE,0,13,42.57796285,368,19.3378443,18.33250768
6,TRUE,0,10,40.3109331,380,20.28801226,17.88768989
7,TRUE,0,8,41.94639904,360,25.90663456,19.40877128
5,TRUE,0,14,42.24259237,360,19.23182086,18.34034012
8,TRUE,0,7,44.34908869,395,30.59579543,17.24263025
6,TRUE,0,11,40.03852798,376,20.00715988,17.80855216
7,TRUE,0,9,42.03001806,358,25.62977525,19.46472115
8,TRUE,0,8,43.07465968,386,30.44504554,17.09863553
5,TRUE,0,15,42.09143073,357,19.09398521,18.29045438
6,TRUE,0,12,39.40654652,371,19.786,17.65295119
7,TRUE,0,10,41.39243576,356,25.39085258,19.22100093
8,TRUE,0,9,42.83941481,381,30.3196055,17.20657179
5,TRUE,0,16,41.94388376,354,18.93048125,18.24595157
7,TRUE,0,11,40.59456995,351,25.10337295,19.08957966
6,TRUE,0,13,39.44495948,370,19.4961495,17.61263705
8,TRUE,0,10,42.24604311,377,30.15441243,17.16313131
5,TRUE,0,17,41.61771787,349,18.69183991,18.1761576
7,TRUE,0,12,40.65731789,349,25.27804021,19.04938652
6,TRUE,0,14,39.56766431,370,19.32868913,17.56492978
5,TRUE,0,18,40.77164136,342,18.42465264,18.0686345
8,TRUE,0,11,41.62405827,372,29.97367931,17.11906604
6,TRUE,0,15,39.23473914,365,18.79681399,17.52307796
7,TRUE,0,13,40.65742297,348,24.98674714,19.08431563
5,TRUE,0,19,40.89122138,342,18.29554924,17.99643242
8,TRUE,0,12,41.6892134,370,29.98090104,17.16064234
7,TRUE,0,14,40.43509592,343,24.99976372,19.12251487
