run_no,spat_feed,juv-mort,time,BA,no_trees,tree_size,tree_size_SD
1,TRUE,0,0,45.84968614,416,34.32082944,15.02497587
2,TRUE,0,0,47.628307,417,34.90661362,15.36738641
3,TRUE,0.2,0,44.54094047,405,34.37138004,14.80698248
1,TRUE,0,1,45.6734779,413,33.78208171,15.50974817
4,TRUE,0.2,0,48.07448276,402,35.821562,15.48741574
3,TRUE,0.2,1,44.65134271,403,26.92816932,18.89925225
4,TRUE,0.2,1,47.61199744,398,23.46895965,20.40885007
2,TRUE,0,1,47.60276609,414,29.09777283,18.83560198
3,TRUE,0.2,2,44.40865439,399,25.84418255,19.14385653
1,TRUE,0,2,45.52096026,409,33.32840732,15.92028074
4,TRUE,0.2,2,47.00805656,394,22.13095419,20.27330006
3,TRUE,0.2,3,44.34798406,395,25.23448245,19.2924284
2,TRUE,0,2,47.48644015,410,28.1774342,19.16329253
4,TRUE,0.2,3,46.72444691,391,20.87734289,20.127939
1,TRUE,0,3,44.65497715,403,32.62250606,16.27037177
3,TRUE,0.2,4,44.42238573,394,24.81837078,19.32620608
2,TRUE,0,3,46.96710413,405,26.24126725,19.59432018
1,TRUE,0,4,44.14825435,398,31.97048851,16.63229808
4,TRUE,0.2,4,46.7695363,388,19.77365702,19.98681187
3,TRUE,0.2,5,44.2724948,392,24.04951136,19.35112656
1,TRUE,0,5,44.27750228,397,31.75166653,16.80541774
4,TRUE,0.2,5,46.86279837,386,18.83819502,19.78888105
2,TRUE,0,4,46.87359871,402,24.54365222,19.86912417
3,TRUE,0.2,6,43.86894233,388,23.48909291,19.32985326
1,TRUE,0,6,44.41869016,395,31.45454256,17.05010631
4,TRUE,0.2,6,45.40340975,377,17.74856643,19.35463778
2,TRUE,0,5,46.48065306,399,22.82079893,19.90300993
3,TRUE,0.2,7,43.42892254,383,23.07786827,19.31427982
1,TRUE,0,7,44.03443694,389,30.55902141,17.60575144
2,TRUE,0,6,45.57620107,396,21.01959337,19.57672202
3,TRUE,0.2,8,42.74619555,378,22.19684662,19.21240456
1,TRUE,0,8,43.31249976,386,29.56926308,17.81581744
4,TRUE,0.2,7,45.35448159,372,17.03607646,19.14532696
3,TRUE,0.2,9,42.71892236,376,21.55690653,19.17237648
2,TRUE,0,7,45.01557536,394,19.49281985,19.26039744
1,TRUE,0,9,42.94206002,383,28.67786484,18.08055178
4,TRUE,0.2,8,44.85684885,368,16.35968215,18.78810301
3,TRUE,0.2,10,42.70123229,372,21.0929202,19.16071316
3,TRUE,0.2,11,42.87601507,371,20.82474885,19.10413825
4,TRUE,0.2,9,44.3205498,365,15.77028589,18.41102094
2,TRUE,0,8,44.58828989,388,17.64860107,18.92055943
1,TRUE,0,10,42.88790631,381,27.79154352,18.39048067
3,TRUE,0.2,12,41.93427863,364,20.39039993,18.93516534
4,TRUE,0.2,10,44.52004956,364,15.24644589,18.14485087
3,TRUE,0.2,13,41.71175432,361,19.40276815,18.83281121
2,TRUE,0,9,43.70926236,384,15.60967292,18.1733851
1,TRUE,0,11,42.6515996,377,25.8037259,18.96487274
4,TRUE,0.2,11,44.38840025,360,14.98407831,17.95652009
1,TRUE,0,12,42.83041613,376,23.546587,19.3372006
2,TRUE,0,10,43.93203368,383,14.21357534,17.60550123
3,TRUE,0.2,14,40.91359695,355,18.32608831,18.593289
4,TRUE,0.2,12,43.96506515,355,14.5804768,17.66186563
1,TRUE,0,13,42.40055334,371,13.84287086,17.88051951
2,TRUE,0,11,43.55490822,379,12.49074791,16.6934312
3,TRUE,0.2,15,39.99277913,349,17.39616043,18.28753601
4,TRUE,0.2,13,43.6235218,352,14.07503616,17.37149901
1,TRUE,0,14,42.0498499,366,4.408408087,9.319868171
3,TRUE,0.2,16,39.26412665,344,16.65046829,18.00359236
4,TRUE,0.2,14,43.30873579,347,13.574275,17.09676285
2,TRUE,0,12,43.84041642,378,11.15686002,15.85393927
4,TRUE,0.2,15,42.78564308,342,13.27299726,16.84740587
3,TRUE,0.2,17,38.29784669,336,12.89998034,16.6760514
2,TRUE,0,13,43.09193763,373,4.497759468,9.142271435
4,TRUE,0.2,16,42.27551827,336,11.44306495,15.88769702
1,TRUE,0,15,42.3929752,359,3.610649703,7.447271685
3,TRUE,0.2,18,37.82294414,333,11.71215093,15.94739751
3,TRUE,0.2,19,37.86677852,332,11.55482684,15.76370886
2,TRUE,0,14,44.19514232,370,3.716606993,7.441556727
4,TRUE,0.2,17,41.82729919,333,10.61217931,15.25769012
4,TRUE,0.2,18,41.75170702,330,10.55517776,15.1072731
1,TRUE,0,16,43.67131518,357,3.711962054,7.335563148
3,TRUE,0.2,20,37.62456832,328,11.43527129,15.60223993
4,TRUE,0.2,19,40.66740659,324,9.558907887,14.26711212
2,TRUE,0,15,44.63540667,363,3.80268829,7.281971488
3,TRUE,0.2,21,36.92686486,324,11.17264396,15.2632333
4,TRUE,0.2,20,40.71279517,321,9.17410825,13.8897625
1,TRUE,0,17,43.24047201,352,3.807093504,7.179082028
3,TRUE,0.2,22,37.07466266,324,11.09023142,15.12373593
4,TRUE,0.2,21,40.332701,316,9.131585446,13.7173108
4,TRUE,0.2,22,39.40037206,312,9.076957864,13.44104294
3,TRUE,0.2,23,37.10020296,322,10.97441397,14.90324372
2,TRUE,0,16,44.0554142,355,3.740972194,6.851894877
4,TRUE,0.2,23,39.77622515,312,9.220804409,13.363736
1,TRUE,0,18,43.30982256,349,3.913102811,7.073623581
3,TRUE,0.2,24,37.27129322,321,10.86713357,14.69255199
4,TRUE,0.2,24,39.17543943,308,8.604261358,12.67243789
3,TRUE,0.2,25,37.00561322,313,10.73409788,14.4892043
4,TRUE,0.2,25,39.4199444,305,8.381363093,12.34174012
2,TRUE,0,17,44.83066775,353,3.765779175,6.628610877
4,TRUE,0.2,26,39.27472035,300,8.454640745,12.17884668
1,TRUE,0,19,43.25259216,345,4.011111895,6.946394792
3,TRUE,0.2,26,36.88098536,309,9.704747939,13.74673529
4,TRUE,0.2,27,39.32620234,297,8.556800083,12.05527592
3,TRUE,0.2,27,36.91243927,305,9.336604168,13.35076726
3,TRUE,0.2,28,36.93707295,299,9.377641535,13.23170511
4,TRUE,0.2,28,39.61247817,296,8.662881408,11.94283692
2,TRUE,0,18,45.41282676,350,3.894673531,6.58148491
1,TRUE,0,20,43.30098466,342,4.113030752,6.836582693
3,TRUE,0.2,29,36.51023307,296,8.90622321,12.68625256
4,TRUE,0.2,29,39.91322775,294,8.299908183,11.55210702
3,TRUE,0.2,30,36.80846089,294,8.72618672,12.40340011
4,TRUE,0.2,30,40.46527026,294,8.156354409,11.30401602
1,TRUE,0,21,43.46374819,338,4.213745796,6.743078455
2,TRUE,0,19,45.8461809,347,4.025760508,6.542032188
3,TRUE,0.2,31,36.68852836,289,8.770841028,12.24095462
4,TRUE,0.2,31,40.61268811,289,8.229398838,11.17488828
3,TRUE,0.2,32,36.79010493,288,8.423039094,11.90428679
4,TRUE,0.2,32,40.63665001,287,8.265753357,11.08253959
2,TRUE,0,20,46.22784458,343,4.066421527,6.377405728
3,TRUE,0.2,33,36.37753657,284,8.169479346,11.56122191
1,TRUE,0,22,43.85043281,336,4.080575903,6.357015732
4,TRUE,0.2,33,40.08892567,282,8.26364863,10.91639633
3,TRUE,0.2,34,35.83727246,279,8.164037681,11.37338407
4,TRUE,0.2,34,39.5166627,276,8.23326252,10.72066315
4,TRUE,0.2,35,38.96609702,271,8.198097622,10.52162093
1,TRUE,0,23,44.85608528,333,4.086311693,6.043168763
3,TRUE,0.2,35,35.38040589,276,7.831652798,10.95211433
4,TRUE,0.2,36,38.98583228,269,8.221722729,10.41964611
2,TRUE,0,21,46.16812042,336,4.116301443,6.198684177
3,TRUE,0.2,36,35.3295896,273,7.69417313,10.73394952
4,TRUE,0.2,37,38.45957297,265,8.207866081,10.22988157
3,TRUE,0.2,37,35.48033596,270,7.766236947,10.67877854
4,TRUE,0.2,38,38.56925045,262,8.251492045,10.15892926
1,TRUE,0,24,46.45394299,332,4.230907816,5.941332857
3,TRUE,0.2,38,34.74549149,264,7.50964304,10.31388144
2,TRUE,0,22,46.9553001,335,4.244152107,6.16521123
4,TRUE,0.2,39,38.23360468,256,8.266782166,10.04036852
4,TRUE,0.2,40,38.00043736,252,7.862232755,9.718521441
3,TRUE,0.2,39,34.87405418,262,7.457258472,10.16335712
1,TRUE,0,25,47.66337627,330,4.359066952,5.812887267
4,TRUE,0.2,41,38.01588035,250,7.69473383,9.502449744
2,TRUE,0,23,48.06511505,333,4.442998231,6.116412457
3,TRUE,0.2,40,34.75538272,259,7.488673691,10.0346429
4,TRUE,0.2,42,38.4566214,248,7.853477307,9.43770922
3,TRUE,0.2,41,34.93536086,258,7.531812998,9.949468868
4,TRUE,0.2,43,38.46031398,246,7.717188459,9.179764915
3,TRUE,0.2,42,35.01248058,253,7.644276558,9.827043268
1,TRUE,0,26,48.85149028,325,4.490425395,5.695631834
2,TRUE,0,24,49.34973749,331,4.464411681,5.912734973
4,TRUE,0.2,44,39.19846043,246,7.759424832,9.083702044
3,TRUE,0.2,43,34.84160951,247,7.416562911,9.505419275
4,TRUE,0.2,45,39.69106467,418,7.902684774,9.000054587
3,TRUE,0.2,44,35.2957876,246,7.399035477,9.332706309
1,TRUE,0,27,49.8773642,321,4.291683927,5.271467489
4,TRUE,0.2,46,40.0225342,457,8.029347151,8.897309073
2,TRUE,0,25,50.54673653,328,4.474837158,5.692087403
4,TRUE,0.2,47,40.74860078,492,8.16961865,8.861135992
3,TRUE,0.2,45,35.50374865,326,7.512565365,9.232622186
4,TRUE,0.2,48,41.28657367,527,8.310560771,8.804868097
3,TRUE,0.2,46,35.72427473,347,7.652410359,9.132705155
1,TRUE,0,28,51.44699299,314,4.241946094,4.978754571
4,TRUE,0.2,49,41.97466743,562,8.452150268,8.757353394
3,TRUE,0.2,47,36.10423026,358,7.537539151,8.931723748
2,TRUE,0,26,51.85583883,324,4.560527565,5.543027351
3,TRUE,0.2,48,36.68102409,368,7.559758491,8.816798763
4,TRUE,0.2,50,42.55986271,596,8.589485864,8.705927746
5,TRUE,0.4,0,49.39191038,394,36.21769424,16.87987657
5,TRUE,0.4,1,49.38930971,392,27.45133409,20.90151542
3,TRUE,0.2,49,36.51116853,378,7.655588305,8.670745435
5,TRUE,0.4,2,48.99820709,384,26.30162661,21.15506688
5,TRUE,0.4,3,48.4775409,381,25.68804707,21.09632492
1,TRUE,0,29,53.81692504,312,4.425656034,4.930884607
5,TRUE,0.4,4,48.51082421,379,25.23597513,21.10919958
3,TRUE,0.2,50,36.94626965,387,7.808532922,8.609732282
2,TRUE,0,27,53.66912825,321,4.677572573,5.458678155
5,TRUE,0.4,5,48.02153086,375,24.76859984,21.05319031
6,TRUE,0.4,0,46.39919959,424,34.36095914,14.59378644
6,TRUE,0.4,1,45.53550709,418,27.96970287,18.27380559
5,TRUE,0.4,6,48.00016504,373,24.4874888,21.02878195
6,TRUE,0.4,2,44.8540346,413,26.97401951,18.45352907
5,TRUE,0.4,7,47.11536232,367,24.15811136,20.91144698
