"BehaviorSpace results (NetLogo 5.1.0)"
"Denny_mort_4.3.40.nlogo"
"experiment"
"02/02/2016 15:28:25:428 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","99","0","99"
"[run number]","spatial-feedback?","drought-rate","patch-variable-to-display","juvenile-mortality","juvenile-death-in-gaps?","[step]","count turtles"
"1","true","0","""juvenile density""","0.8","true","0","4096"
"1","true","0","""juvenile density""","0.8","true","1","1340"
"1","true","0","""juvenile density""","0.8","true","2","3597"
"1","true","0","""juvenile density""","0.8","true","3","1286"
"1","true","0","""juvenile density""","0.8","true","4","847"
"1","true","0","""juvenile density""","0.8","true","5","752"
"1","true","0","""juvenile density""","0.8","true","6","743"
"1","true","0","""juvenile density""","0.8","true","7","3599"
"1","true","0","""juvenile density""","0.8","true","8","1252"
"1","true","0","""juvenile density""","0.8","true","9","850"
"1","true","0","""juvenile density""","0.8","true","10","4010"
"1","true","0","""juvenile density""","0.8","true","11","1341"
"1","true","0","""juvenile density""","0.8","true","12","832"
"1","true","0","""juvenile density""","0.8","true","13","3946"
"1","true","0","""juvenile density""","0.8","true","14","1387"
"1","true","0","""juvenile density""","0.8","true","15","869"
"1","true","0","""juvenile density""","0.8","true","16","22125"
