"BehaviorSpace results (NetLogo 5.1.0)"
"Denny_mort_3.5.nlogo"
"Experiment_1"
"09/23/2015 08:14:34:144 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","99","0","99"
"[run number]","spatial-feedback?","n-trees","mean-tree-age","differential-juvenile-mortality?","juvenile-mortality","[step]","count trees","sum [BA] of trees"
"4","true","280","90","true","0.5","0","274","43.0001121150794"
"6","true","280","90","true","0.5","0","276","48.445954664580505"
"5","true","280","90","true","0.5","0","278","39.94400683263923"
"2","true","280","90","true","0.5","0","177","45.91459233519596"
"8","true","280","90","true","0.5","0","276","46.2224594426485"
"7","true","280","90","true","0.5","0","274","37.36641776970691"
"1","true","280","90","true","0.5","0","254","31.466239021157016"
"4","true","280","90","true","0.5","1","494","42.398572983713336"
"2","true","280","90","true","0.5","1","151","43.74583529455545"
"6","true","280","90","true","0.5","1","452","48.70850482269718"
"3","true","280","90","true","0.5","0","277","45.001783043953516"
"2","true","280","90","true","0.5","2","136","40.05821299749246"
"1","true","280","90","true","0.5","1","224","29.73016678319347"
"7","true","280","90","true","0.5","1","536","36.83935017051861"
"8","true","280","90","true","0.5","1","460","46.54767474229727"
"2","true","280","90","true","0.5","3","130","37.150120130468096"
"6","true","280","90","true","0.5","2","405","47.29856008789015"
"2","true","280","90","true","0.5","4","125","34.5769578672126"
"2","true","280","90","true","0.5","5","123","34.622748727133136"
"1","true","280","90","true","0.5","2","227","29.911252622402326"
"6","true","280","90","true","0.5","3","382","42.75201152373374"
"8","true","280","90","true","0.5","2","425","45.08518956716429"
"3","true","280","90","true","0.5","1","579","45.33012360390019"
"7","true","280","90","true","0.5","2","521","36.81630475390698"
"1","true","280","90","true","0.5","3","228","30.126686307705235"
"6","true","280","90","true","0.5","4","369","38.43573341436437"
"1","true","280","90","true","0.5","4","229","30.3064846202079"
"6","true","280","90","true","0.5","5","356","36.31962595379737"
"8","true","280","90","true","0.5","3","400","42.29147753925448"
"6","true","280","90","true","0.5","6","350","35.70905909637672"
"2","true","280","90","true","0.5","6","123","34.987383287015476"
"2","true","280","90","true","0.5","7","124","35.249270184167756"
"2","true","280","90","true","0.5","8","123","35.52684851351047"
"6","true","280","90","true","0.5","7","346","35.82560179414618"
"5","true","280","90","true","0.5","1","545","39.17564190625742"
"4","true","280","90","true","0.5","2","466","41.868664166411406"
"6","true","280","90","true","0.5","8","337","35.63705526881293"
"8","true","280","90","true","0.5","4","380","37.05435728116863"
"6","true","280","90","true","0.5","9","335","35.26049039930484"
"2","true","280","90","true","0.5","9","122","35.78206377543696"
"1","true","280","90","true","0.5","5","226","30.400085837219077"
"7","true","280","90","true","0.5","3","514","36.089121312973276"
"5","true","280","90","true","0.5","2","571","38.82669686225759"
"1","true","280","90","true","0.5","6","225","30.581478220241856"
"6","true","280","90","true","0.5","10","335","34.89427820480145"
"5","true","280","90","true","0.5","3","568","38.53826872927157"
"7","true","280","90","true","0.5","4","507","35.039349792116404"
"1","true","280","90","true","0.5","7","222","30.440580990270142"
"3","true","280","90","true","0.5","2","587","44.16716011496923"
"1","true","280","90","true","0.5","8","217","29.02448292507437"
"6","true","280","90","true","0.5","11","329","34.74401858835711"
"7","true","280","90","true","0.5","5","494","33.38136942136049"
"2","true","280","90","true","0.5","10","119","35.446317837536526"
"1","true","280","90","true","0.5","9","215","28.515799607651182"
"1","true","280","90","true","0.5","10","210","27.910625043434127"
"6","true","280","90","true","0.5","12","319","32.74145074698614"
"7","true","280","90","true","0.5","6","491","33.600952499766684"
"6","true","280","90","true","0.5","13","318","32.87960821988498"
"2","true","280","90","true","0.5","11","115","33.179216607839784"
"6","true","280","90","true","0.5","14","309","31.150953754932246"
"8","true","280","90","true","0.5","5","367","36.08397548960888"
"2","true","280","90","true","0.5","12","112","32.761868073161516"
"6","true","280","90","true","0.5","15","305","30.364407858727915"
"2","true","280","90","true","0.5","13","109","32.242859188507566"
"6","true","280","90","true","0.5","16","298","29.444182060186243"
"2","true","280","90","true","0.5","14","108","32.408751588192665"
